item_id,site,period,best_source,best_d2,best_p,confident,best_source_3el,best_d2_3el,best_p_3el,confident_3el,quality_flag,divergent_elements,locus,basket,Rb,Zr,Nb,2el_3el_agree
ein_50155,einan,natufian,GolluDag,5.764,0.056,True,EGD,6.562,0.0872,True,repeat_divergent,"Rb,Nb",5076,50155,90.0,66.67,23.33,False
ein_5251,einan,natufian,GolluDag,10.5,0.0052,False,GolluDag,14.37,0.0024,False,good,,R97b,5251,80.0,60.0,20.0,True
ein_5287,einan,natufian,GolluDag,3.351,0.1872,True,GolluDag,3.471,0.3246,True,good,,G98b,5287,95.0,75.0,30.0,True
ein_5310,einan,natufian,GolluDag,2.483,0.2889,True,GolluDag,2.499,0.4755,True,good,,I97c,5310,100.0,80.0,30.0,True
ein_5356,einan,natufian,GolluDag,8.198,0.0166,False,GolluDag,9.591,0.0224,False,repeat_divergent,Zr,H91,5356,90.0,65.0,20.0,True
ein_5410A,einan,natufian,GolluDag,8.198,0.0166,False,GolluDag,10.441,0.0152,False,repeat_divergent,Zr,Q98c,5410A,85.0,65.0,20.0,True
ein_5410B,einan,natufian,GolluDag,4.525,0.1041,True,GolluDag,4.558,0.2072,True,good,,Q98c,5410B,100.0,70.0,30.0,True
ein_5410C,einan,natufian,GolluDag,2.483,0.2889,True,GolluDag,3.641,0.303,True,good,,Q98c,5410C,115.0,80.0,30.0,True
ein_5444,einan,natufian,GolluDag,7.497,0.0235,False,GolluDag,9.907,0.0194,False,good,,Q97a,5444,83.33,66.67,20.0,True
ein_5482,einan,natufian,GolluDag,4.525,0.1041,True,GolluDag,4.558,0.2072,True,single,,R97d,5482,100.0,70.0,30.0,True
ein_5533,einan,natufian,GolluDag,10.5,0.0052,False,GolluDag,14.37,0.0024,False,good,,O98b-c,5533,80.0,60.0,20.0,True
ein_5561,einan,natufian,GolluDag,4.525,0.1041,True,GolluDag,4.558,0.2072,True,single,,K93b,5561,100.0,70.0,30.0,True
ein_5598,einan,natufian,GolluDag,10.5,0.0052,False,GolluDag,14.37,0.0024,False,good,,P98,5598,80.0,60.0,20.0,True
ein_5645,einan,natufian,GolluDag,3.351,0.1872,True,GolluDag,3.352,0.3405,True,good,,P97c,5645,100.0,75.0,30.0,True
ein_5686,einan,natufian,EGD,3.238,0.1981,True,EGD,4.826,0.185,True,repeat_divergent,"Zr,Nb",M98c,5686,95.0,65.0,25.0,True
ein_5810,einan,natufian,GolluDag,6.202,0.045,False,GolluDag,7.258,0.0641,True,single,,T97b,5810,90.0,70.0,20.0,True
ein_5844,einan,natufian,GolluDag,4.525,0.1041,True,GolluDag,4.731,0.1926,True,single,,S56b-c,5844,110.0,70.0,30.0,True
ein_5870,einan,natufian,GolluDag,3.351,0.1872,True,GolluDag,3.435,0.3293,True,good,,P96,5870,105.0,75.0,30.0,True
ein_5872,einan,natufian,GolluDag,2.483,0.2889,True,GolluDag,2.678,0.4439,True,good,,T99,5872,105.0,80.0,30.0,True
ein_5888,einan,natufian,GolluDag,3.351,0.1872,True,GolluDag,3.352,0.3405,True,good,,U99,5888,100.0,75.0,30.0,True
ein_5922,einan,natufian,GolluDag,6.202,0.045,False,GolluDag,7.258,0.0641,True,good,,P98,5922,90.0,70.0,20.0,True
ein_5927,einan,natufian,EGD,0.989,0.61,True,EGD,2.452,0.4841,True,repeat_divergent,Nb,O96,5927,95.0,70.0,25.0,True
ein_5929,einan,natufian,GolluDag,1.921,0.3828,True,GolluDag,2.751,0.4316,True,repeat_divergent,Rb,O98,5929,110.0,85.0,30.0,True
ein_5945,einan,natufian,GolluDag,8.198,0.0166,False,GolluDag,10.441,0.0152,False,repeat_divergent,Zr,R98,5945,85.0,65.0,20.0,True
ein_5948,einan,natufian,GolluDag,8.198,0.0166,False,GolluDag,11.491,0.0093,False,repeat_divergent,Zr,N96,5948,80.0,65.0,20.0,True
ein_5965,einan,natufian,GolluDag,6.202,0.045,False,GolluDag,6.357,0.0955,True,single,,Q96,5965,100.0,70.0,20.0,True
ein_5971,einan,natufian,GolluDag,6.202,0.045,False,GolluDag,6.357,0.0955,True,single,,S96,5971,100.0,70.0,20.0,True
ein_5974,einan,natufian,GolluDag,5.783,0.0555,True,GolluDag,7.245,0.0645,True,repeat_divergent,Nb,o98,5974,87.5,67.5,22.5,True
ein_6003,einan,natufian,GolluDag,1.921,0.3828,True,GolluDag,3.43,0.33,True,good,,Q98,6003,115.0,85.0,30.0,True
ein_6010,einan,natufian,GolluDag,6.202,0.045,False,GolluDag,8.307,0.0401,False,good,,P99d,6010,83.33,70.0,20.0,True
ein_6014,einan,natufian,GolluDag,1.664,0.4353,True,GolluDag,1.848,0.6045,True,single,,I93c,6014,100.0,90.0,30.0,True
ein_6016,einan,natufian,GolluDag,4.525,0.1041,True,GolluDag,4.558,0.2072,True,single,,R99,6016,100.0,70.0,30.0,True
ein_6017,einan,natufian,EGD,0.989,0.61,True,EGD,2.452,0.4841,True,repeat_divergent,Nb,R99,6017,95.0,70.0,25.0,True
ein_6022,einan,natufian,GolluDag,3.351,0.1872,True,GolluDag,3.719,0.2935,True,good,,T97,6022,110.0,75.0,30.0,True
ein_6034,einan,natufian,EGD,4.476,0.1067,True,GolluDag,5.838,0.1198,True,repeat_divergent,"Rb,Nb",I93d,6034,100.0,65.0,26.67,False
ein_6036,einan,natufian,GolluDag,3.709,0.1565,True,GolluDag,4.017,0.2596,True,good,,I92a,6036,110.0,73.33,30.0,True
ein_6037,einan,natufian,GolluDag,4.525,0.1041,True,GolluDag,4.558,0.2072,True,single,,I93d,6037,100.0,70.0,30.0,True
ein_6044,einan,natufian,EGD,0.989,0.61,True,EGD,2.452,0.4841,True,repeat_divergent,Nb,S100,6044,95.0,70.0,25.0,True
ein_6068,einan,natufian,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,J93a,6068,90.0,60.0,20.0,True
ein_6084,einan,natufian,GolluDag,4.525,0.1041,True,GolluDag,4.544,0.2084,True,good,,T100,6084,105.0,70.0,30.0,True
ein_6105,einan,natufian,GolluDag,4.525,0.1041,True,GolluDag,5.189,0.1584,True,single,,Q98,6105,90.0,70.0,30.0,True
ein_6105A,einan,natufian,EGD,0.989,0.61,True,GolluDag,4.252,0.2355,True,repeat_divergent,"Rb,Zr,Nb",Q98,6105A,100.0,70.0,25.0,False
ein_6105B,einan,natufian,GolluDag,5.441,0.0659,True,GolluDag,8.697,0.0336,False,repeat_divergent,Nb,Q98,6105B,120.0,90.0,35.0,True
ein_6109,einan,natufian,GolluDag,1.921,0.3828,True,GolluDag,3.43,0.33,True,good,,S97,6109,115.0,85.0,30.0,True
