sample_id,Ba,Ti,Mn,Fe,Co,Ni,Cu,Zn,Ga,Pb,Th,Rb,Sr,Y,Zr,Nb,Museum ID,Site,"Date of
Analysis",Cortex,Length,Width,Thick,Source,source,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference
JMA14 NM1 ,562,696,609,10002,4,6,8,45,16,23,11,107,97,19,109,12,10326,Tsikniadhes ,2014-08-04 00:00:00,80,1.86,1.25,0.97,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM2 ,741,361,422,10144,4,6,7,39,15,24,10,115,99,17,101,8,10327,Tsikniadhes ,2014-08-04 00:00:00,0,3.72,0.79,0.26,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM3 ,688,453,493,8992,4,6,8,23,14,24,10,110,98,18,99,10,10328,Tsikniadhes ,2014-08-04 00:00:00,0,4.38,2.23,0.51,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM4 ,644,460,457,10162,5,6,7,40,15,21,11,117,98,16,105,11,10329,Tsikniadhes ,2014-08-04 00:00:00,0,3.93,0.93,0.32,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM5 ,653,396,674,9634,4,7,7,50,16,24,11,119,92,16,106,9,10330,Tsikniadhes ,2014-08-04 00:00:00,0,2.25,2.1,0.51,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM6 ,687,645,538,11856,4,6,7,45,16,25,9,102,123,18,112,8,10331,Tsikniadhes ,2014-08-04 00:00:00,10,2.16,1.75,0.51,Dhemenegaki,Dhemenegaki,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM7 ,679,796,513,13172,6,6,9,34,15,24,13,112,122,19,123,8,10332α ,Tsikniadhes ,2014-08-04 00:00:00,0,1.56,1.03,0.54,Dhemenegaki,Dhemenegaki,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM8 ,614,766,635,11616,5,6,9,29,16,23,8,126,101,19,103,8,10332β ,Tsikniadhes ,2014-08-04 00:00:00,0,1.16,0.77,0.24,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM9 ,772,1173,471,15724,7,6,11,44,16,27,7,116,118,13,110,9,10332γ ,Tsikniadhes ,2014-08-04 00:00:00,0,1.1,0.6,0.12,Dhemenegaki,Dhemenegaki,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM10 ,673,427,510,9345,4,6,7,36,15,22,10,114,93,17,102,8,10333,Tsikniadhes ,2014-08-04 00:00:00,0,2.47,1.15,0.31,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM11 ,690,352,450,10154,4,7,8,51,17,23,11,117,99,15,101,10,10334,Tsikniadhes ,2014-08-04 00:00:00,0,2.01,0.76,0.25,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM12 ,602,501,704,9519,4,6,7,54,16,27,12,124,99,18,103,10,10335,Tsikniadhes ,2014-08-04 00:00:00,50,2.96,3.26,0.83,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM13 ,627,598,569,9615,4,6,8,33,15,26,11,115,110,19,107,12,10336,Tsikniadhes ,2014-08-04 00:00:00,0,3.16,2.59,0.38,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM14 ,617,550,538,9700,4,6,7,38,15,21,13,120,100,19,112,8,10337,Tsikniadhes ,2014-08-04 00:00:00,0,1.78,2.41,0.39,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM15 ,687,521,556,13752,6,6,9,41,16,23,9,109,116,15,109,8,10338,Tsikniadhes ,2014-08-04 00:00:00,0,2.11,0.7,0.47,Dhemenegaki,Dhemenegaki,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM16 ,650,488,498,9989,4,6,7,44,16,25,11,111,101,18,105,9,10340,Tsikniadhes ,2014-08-04 00:00:00,0,5,0.95,0.26,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM17 ,712,384,394,9634,4,6,8,36,17,23,10,117,99,18,98,8,10341α ,Tsikniadhes ,2014-08-04 00:00:00,0,4.12,1.24,0.36,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM18 ,683,384,625,10887,5,6,8,39,15,26,15,120,103,17,107,9,10341β ,Tsikniadhes ,2014-08-04 00:00:00,0,2.23,0.69,0.18,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM19 ,892,1398,571,12522,7,7,13,68,18,20,11,115,98,20,100,7,10341γ ,Tsikniadhes ,2014-08-04 00:00:00,0,1.79,0.49,0.12,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM20 ,738,356,623,11234,5,6,9,36,16,21,9,131,110,17,106,8,10342,Tsikniadhes ,2014-08-04 00:00:00,0,5.71,1.06,0.28,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM21 ,647,556,539,9639,4,6,7,37,15,27,12,118,95,17,105,9,10343α ,Tsikniadhes ,2014-08-04 00:00:00,0,2.22,1.36,0.39,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM22 ,672,437,523,9817,4,6,7,46,16,23,11,115,98,17,104,9,10343β ,Tsikniadhes ,2014-08-04 00:00:00,5,3.36,2.17,0.34,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM23 ,660,601,367,9357,4,6,7,46,16,23,10,111,100,19,109,9,10343γ ,Tsikniadhes ,2014-08-04 00:00:00,0,2.68,4.21,1.36,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM24 ,751,306,289,9289,4,6,8,32,15,23,12,109,97,18,107,11,10344α ,Tsikniadhes ,2014-08-04 00:00:00,0,2.8,1.73,0.28,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM25 ,707,534,582,9853,4,6,8,44,16,20,9,116,93,16,102,8,10344β ,Tsikniadhes ,2014-08-04 00:00:00,20,1.92,1.37,0.32,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM26 ,760,1222,624,10006,4,6,8,49,17,24,11,116,97,22,106,10,10344γ ,Tsikniadhes ,2014-08-04 00:00:00,20,1.37,0.91,0.3,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM27 ,663,850,441,10198,4,6,8,42,18,23,10,119,104,17,104,10,10344δ ,Tsikniadhes ,2014-08-04 00:00:00,0,1.36,0.76,0.27,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM28 ,628,327,622,10588,4,6,7,31,15,24,10,130,113,16,112,11,10345α ,Tsikniadhes ,2014-08-04 00:00:00,0,8.65,1.37,0.28,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM29 ,670,440,571,10204,4,6,7,42,15,24,11,119,102,19,110,10,10345β ,Tsikniadhes ,2014-08-04 00:00:00,0,2.7,1.47,0.35,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM30 ,786,383,395,9368,4,6,7,29,15,23,10,115,101,16,98,9,10345γ ,Tsikniadhes ,2014-08-04 00:00:00,0,- ,- ,- ,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM31 ,752,461,351,9962,4,6,8,23,16,23,12,116,103,16,103,9,10346α ,Tsikniadhes ,2014-08-04 00:00:00,0,5.02,1.03,0.28,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM32 ,673,567,435,10508,4,6,7,26,15,23,11,122,104,15,99,10,10346β ,Tsikniadhes ,2014-08-04 00:00:00,0,2.48,0.8,0.24,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM33 ,752,379,491,10891,4,7,8,55,17,25,10,121,109,18,105,8,10347,Tsikniadhes ,2014-08-04 00:00:00,0,6.74,1.09,0.28,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM34 ,675,407,444,10209,4,6,8,31,15,21,10,121,110,17,108,10,10348,Tsikniadhes ,2014-08-04 00:00:00,0,1.36,1.44,0.9,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM35 ,629,400,480,9562,4,6,7,43,16,26,13,120,106,18,110,9,10349,Tsikniadhes ,2014-08-04 00:00:00,0,9.56,1.63,0.48,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM36 ,708,469,401,11121,5,6,8,37,16,23,11,130,106,19,112,9,10350,Tsikniadhes ,2014-08-04 00:00:00,0,7.63,1.09,0.34,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM37 ,668,396,436,9797,4,6,7,33,15,23,9,118,101,19,110,7,10351,Tsikniadhes ,2014-08-04 00:00:00,0,9.43,1.15,0.28,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
