sample_id,Ti,Mn,Fe,Zn,Ga,Th,Rb,Sr,Y,Zr,Nb,extra_Nb_Zr,extra_Y_Zr,source,site,notes,verification_flag,paper,year,method,method_tier,units
OB251,1349.0,513.0,10725.0,47.0,16.0,36.0,181.0,104.0,16.0,141.0,26.0,0.180592,0.11007,ND,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB252,1349.0,556.0,11009.0,48.0,13.0,28.0,179.0,109.0,12.0,137.0,15.0,0.110957,0.08549,ND,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB253,1367.0,639.0,10330.0,44.0,20.0,22.0,220.0,31.0,20.0,77.0,22.0,0.285698,0.26123,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB254,1028.0,449.0,7835.0,30.0,11.0,26.0,184.0,20.0,19.0,77.0,36.0,0.46921,0.23974,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB255,1242.0,483.0,9144.0,41.0,16.0,33.0,204.0,17.0,27.0,78.0,23.0,0.288668,0.34027,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB256,1598.0,668.0,13711.0,71.0,23.0,22.0,205.0,117.0,26.0,148.0,14.0,0.09747,0.17787,ND,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB257,1200.0,402.0,9603.0,36.0,14.0,40.0,189.0,29.0,15.0,89.0,32.0,0.365976,0.1728,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB258,1064.0,501.0,9118.0,31.0,22.0,26.0,201.0,27.0,27.0,87.0,22.0,0.257094,0.31598,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB259,1078.0,545.0,10163.0,43.0,19.0,26.0,209.0,32.0,19.0,88.0,25.0,0.286702,0.21953,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB260,1051.0,486.0,8850.0,31.0,19.0,43.0,203.0,24.0,23.0,83.0,23.0,0.279621,0.27621,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB261,1344.0,525.0,11164.0,59.0,16.0,25.0,172.0,107.0,18.0,131.0,25.0,0.188013,0.13589,ND,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB262,1285.0,448.0,10310.0,48.0,14.0,33.0,166.0,105.0,23.0,133.0,24.0,0.183206,0.17241,ND,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB263,1067.0,507.0,8729.0,28.0,15.0,33.0,201.0,26.0,27.0,84.0,18.0,0.217807,0.32493,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB264,1080.0,523.0,8514.0,31.0,15.0,9.0,194.0,28.0,22.0,77.0,15.0,0.200143,0.27987,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB265,1323.0,625.0,12079.0,55.0,18.0,38.0,188.0,114.0,27.0,140.0,18.0,0.131,0.19184,ND,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB266,1117.0,489.0,9202.0,35.0,19.0,43.0,208.0,25.0,17.0,74.0,28.0,0.371922,0.22897,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB267,1122.0,572.0,10503.0,50.0,17.0,36.0,163.0,100.0,17.0,139.0,18.0,0.13262,0.1225,ND,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB268,1077.0,636.0,10028.0,43.0,21.0,37.0,218.0,27.0,24.0,90.0,29.0,0.324349,0.26941,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB269,1076.0,504.0,8790.0,31.0,19.0,27.0,198.0,21.0,19.0,90.0,27.0,0.303582,0.21406,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB270,1404.0,654.0,12974.0,56.0,23.0,23.0,198.0,114.0,17.0,155.0,23.0,0.147928,0.1092,ND,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB271,1282.0,735.0,10925.0,42.0,26.0,24.0,245.0,21.0,27.0,91.0,29.0,0.323232,0.29715,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB272,1063.0,487.0,8294.0,27.0,18.0,31.0,193.0,25.0,22.0,81.0,20.0,0.242515,0.2651,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB273,1095.0,456.0,8408.0,28.0,18.0,23.0,199.0,17.0,23.0,73.0,26.0,0.360204,0.30948,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB274,1191.0,588.0,10166.0,35.0,26.0,28.0,233.0,28.0,24.0,92.0,24.0,0.265158,0.25803,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB275,1286.0,462.0,8652.0,40.0,22.0,30.0,191.0,25.0,27.0,78.0,12.0,0.155027,0.34092,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB276,1085.0,533.0,8930.0,36.0,21.0,30.0,192.0,27.0,24.0,89.0,20.0,0.230132,0.26972,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB277,1296.0,532.0,10620.0,52.0,18.0,14.0,156.0,107.0,18.0,126.0,16.0,0.123298,0.13943,ND,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB278,1422.0,517.0,12226.0,60.0,21.0,35.0,185.0,120.0,16.0,140.0,9.0,0.060914,0.11136,ND,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB279,1239.0,486.0,10570.0,46.0,16.0,46.0,162.0,100.0,17.0,127.0,17.0,0.132717,0.1338,ND,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB280,1760.0,518.0,10817.0,46.0,21.0,39.0,173.0,106.0,14.0,134.0,20.0,0.147069,0.1028,ND,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB281,1051.0,541.0,9101.0,36.0,20.0,14.0,199.0,27.0,22.0,92.0,20.0,0.219241,0.23776,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB282,1227.0,454.0,10121.0,39.0,18.0,28.0,158.0,101.0,15.0,137.0,26.0,0.190345,0.1099,ND,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB283,1308.0,537.0,11315.0,47.0,22.0,30.0,169.0,115.0,24.0,139.0,19.0,0.13415,0.16905,ND,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB284,1073.0,443.0,8427.0,25.0,13.0,26.0,203.0,25.0,13.0,79.0,35.0,0.447202,0.16595,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB285,1095.0,495.0,8768.0,34.0,15.0,34.0,215.0,20.0,25.0,75.0,28.0,0.377343,0.32946,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB286,1232.0,527.0,10839.0,49.0,19.0,37.0,176.0,109.0,18.0,132.0,22.0,0.163681,0.13274,ND,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB287,1231.0,465.0,10331.0,57.0,13.0,24.0,167.0,99.0,19.0,140.0,20.0,0.143965,0.13397,ND,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB288,1190.0,543.0,9368.0,39.0,25.0,39.0,226.0,22.0,16.0,85.0,29.0,0.340193,0.19147,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB289,1433.0,501.0,10160.0,55.0,19.0,28.0,159.0,104.0,23.0,129.0,20.0,0.159036,0.17839,ND,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB290,1025.0,416.0,7334.0,29.0,13.0,29.0,167.0,18.0,19.0,77.0,17.0,0.222825,0.24248,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB291,1058.0,524.0,8624.0,29.0,19.0,41.0,202.0,25.0,20.0,85.0,27.0,0.318913,0.24056,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
OB292,1036.0,472.0,8644.0,43.0,15.0,36.0,201.0,23.0,19.0,80.0,23.0,0.288346,0.24192,EGD,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
,,,,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
,,,,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
,,,,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
,,,,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
Summary,,,,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
,,,,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
samples,,25.0,17.0,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
Fe,,9000.0,11100.0,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
Ga,,17.0,18.0,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
Mn,,510.0,540.0,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
Nb,,24.0,20.0,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
Rb,,204.0,174.0,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
Sr,,24.0,108.0,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
Th,,30.0,31.0,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
Ti,,1120.0,1350.0,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
Y,,22.0,19.0,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
Zn,,35.0,52.0,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
Zr,,83.0,137.0,,,,,,,,,,,,,,False,Carter & Shackley 2007,2007,EDXRF,2,ppm
