Reference,Technique,Nb,Unnamed: 3,Zr,Unnamed: 5,Sr,Unnamed: 7,Rb,Unnamed: 9,Fe,Unnamed: 11
Kelle_and_Seifried_1990,WDXRF,20,1,77,1,16,1,181,2,6040,70
Yellin_1995,NAA,,,,,,,209,10,6110,100
Martinetto_1996,ICP-AES/MS,25,,70,,12,,153,,6650,
Oddone_et_al_1997,NAA,,,78,1,19,3,180,3,6800,850
Bellot-Gurlet_1998,ICP-AES/MS,25,1,69,1,12,1,176,20,5760,770
Gratuze_in_Poidevin_1998,LA-ICP-MS,21,3,71,9,13,1,192,18,5120,1230
Carter_and_Shackley_2007,EDXRF,24,6,83,6,24,4,204,16,9000,800
Kobayashi_and_Mochizuki_2007,EDXRF,,,71,3,9,2,184,6,4800,140
Frahm_2010,EDXRF,20,,83,,12,,180,,5870,
"""",NAA,,,73,,,,184,,5642,
"""",EMPA,,,50,17,,,,,4370,330
Poupeau_et_al_2010,ICP-MS,22,2,70,1,10,1,179,5,,
"""",PIXE,32,6,73,9,13,3,183,18,4600,170
"""",SEM-EDS,,,,,,,,,4890,325
Binder_et_al_2011,LA-ICP-MS,25,1,70,5,9,1,188,6,5600,500
Overall_mean_values,,24,4,72,8,14,5,184,14,5804,1175
This_study_pXRF,pXRF,20,1,64,4,14,2,190,3,5700,90
