Source,sample_id,Nb,Zr,Sr,Rb,Fe,source,site,notes,verification_flag,paper,year,method,method_tier,units
Acıgöl,ca08p2,29.427795,61.72424999999999,0.0,271.076826,5695.645622,AciGol,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Acıgöl,ca09p1,31.043628,65.07562499999999,0.0,270.745431,5965.060283,AciGol,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Acıgöl,ca09p2,30.441114,64.43775,0.0,274.390776,5740.359443,AciGol,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Acıgöl,ca09p3,31.664400000000004,64.74149999999999,0.0,275.318682,5761.738946,AciGol,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Acıgöl,ca11p1,29.455182,70.42162499999999,0.0,263.830322,5745.990682,AciGol,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Acıgöl,ca11p2,31.746561000000003,63.86062499999999,0.0,270.36985,5844.081241,AciGol,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Acıgöl,ca11r1,29.911632,65.67299999999999,0.0,271.01054700000003,5906.491281999999,AciGol,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Acıgöl,ca13r1,28.852668000000005,65.86537499999999,0.0,269.066363,6082.404055,AciGol,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Acıgöl,ca33w1,30.413727000000005,65.44012499999998,0.0,268.248922,5730.022929999999,AciGol,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Acıgöl,ca33w3,29.838600000000003,69.96599999999998,0.0,266.94543500000003,5830.226060999999,AciGol,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Acıgöl,ca33w4,31.290111000000007,63.121500000000005,0.0,267.100086,5795.258879,AciGol,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Acıgöl,ca33w5,28.971345,59.992875000000005,0.0,267.011714,5753.028015999999,AciGol,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Average,,30.25473025,65.0266875,0.0,269.5929128333334,5820.858953333333,Average,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Acıgöl2,ca05p1,18.080448000000004,134.19899999999998,90.633716,169.86879299999998,8806.270712,AciGol,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
