source,method_tier,tier_label,n_samples,papers,Rb_n,Rb_mean,Rb_sd,Rb_min,Rb_max,Sr_n,Sr_mean,Sr_sd,Sr_min,Sr_max,Zr_n,Zr_mean,Zr_sd,Zr_min,Zr_max,Nb_n,Nb_mean,Nb_sd,Nb_min,Nb_max,Y_n,Y_mean,Y_sd,Y_min,Y_max,Fe_n,Fe_mean,Fe_sd,Fe_min,Fe_max,Mn_n,Mn_mean,Mn_sd,Mn_min,Mn_max,Zn_n,Zn_mean,Zn_sd,Zn_min,Zn_max,Ti_n,Ti_mean,Ti_sd,Ti_min,Ti_max,Ba_n,Ba_mean,Ba_sd,Ba_min,Ba_max,Th_n,Th_mean,Th_sd,Th_min,Th_max,Pb_n,Pb_mean,Pb_sd,Pb_min,Pb_max,Ga_n,Ga_mean,Ga_sd,Ga_min,Ga_max,La_n,La_mean,La_sd,La_min,La_max,Ce_n,Ce_mean,Ce_sd,Ce_min,Ce_max,Sm_n,Sm_mean,Sm_sd,Sm_min,Sm_max,Eu_n,Eu_mean,Eu_sd,Eu_min,Eu_max,Yb_n,Yb_mean,Yb_sd,Yb_min,Yb_max,Lu_n,Lu_mean,Lu_sd,Lu_min,Lu_max
AciGol,0,ALL (combined),38,Forster & Grave 2012; Frahm & Hauck 2017,38,209.52,42.43,166.47,275.32,38,54.91,40.25,0.0,96.62,38,102.01,30.87,59.99,150.44,38,22.06,5.84,15.98,31.75,1,47.0,,47.0,47.0,37,7367.45,1276.37,5695.65,9074.94,0,,,,,1,34.0,,34.0,34.0,0,,,,,0,,,,,1,27.0,,27.0,27.0,1,29.0,,29.0,29.0,1,17.0,,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AciGol,2,ICP-MS/INAA,1,Forster & Grave 2012,1,223.0,,223.0,223.0,1,8.0,,8.0,8.0,1,81.0,,81.0,81.0,1,24.0,,24.0,24.0,1,47.0,,47.0,47.0,0,,,,,0,,,,,1,34.0,,34.0,34.0,0,,,,,0,,,,,1,27.0,,27.0,27.0,1,29.0,,29.0,29.0,1,17.0,,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AciGol,3,XRF (lab),37,Frahm & Hauck 2017,37,209.15,42.96,166.47,275.32,37,56.18,40.03,0.0,96.62,37,102.58,31.1,59.99,150.44,37,22.01,5.91,15.98,31.75,0,,,,,37,7367.45,1276.37,5695.65,9074.94,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AciGolWest,0,ALL (combined),1,Carter et al. 2006,1,167.0,,167.0,167.0,1,1.47,,1.47,1.47,1,47.1,,47.1,47.1,1,20.9,,20.9,20.9,1,19.9,,19.9,19.9,0,,,,,0,,,,,0,,,,,0,,,,,1,2.96,,2.96,2.96,1,13.5,,13.5,13.5,1,27.6,,27.6,27.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AciGolWest,1,pXRF/EDXRF,1,Carter et al. 2006,1,167.0,,167.0,167.0,1,1.47,,1.47,1.47,1,47.1,,47.1,47.1,1,20.9,,20.9,20.9,1,19.9,,19.9,19.9,0,,,,,0,,,,,0,,,,,0,,,,,1,2.96,,2.96,2.96,1,13.5,,13.5,13.5,1,27.6,,27.6,27.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antiparos,0,ALL (combined),1,Milic 2014,1,367.0,,367.0,367.0,1,10.0,,10.0,10.0,1,128.0,,128.0,128.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antiparos,1,pXRF/EDXRF,1,Milic 2014,1,367.0,,367.0,367.0,1,10.0,,10.0,10.0,1,128.0,,128.0,128.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bingol,0,ALL (combined),1,Carter et al. 2013 (Kenan Tepe),1,270.0,,270.0,270.0,0,,,,,1,1273.0,,1273.0,1273.0,1,60.0,,60.0,60.0,1,134.0,,134.0,134.0,1,30096.0,,30096.0,30096.0,1,634.0,,634.0,634.0,1,208.0,,208.0,208.0,1,1413.0,,1413.0,1413.0,0,,,,,1,35.0,,35.0,35.0,1,84.0,,84.0,84.0,1,35.0,,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bingol,2,ICP-MS/INAA,1,Carter et al. 2013 (Kenan Tepe),1,270.0,,270.0,270.0,0,,,,,1,1273.0,,1273.0,1273.0,1,60.0,,60.0,60.0,1,134.0,,134.0,134.0,1,30096.0,,30096.0,30096.0,1,634.0,,634.0,634.0,1,208.0,,208.0,208.0,1,1413.0,,1413.0,1413.0,0,,,,,1,35.0,,35.0,35.0,1,84.0,,84.0,84.0,1,35.0,,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BingolA,0,ALL (combined),195,"Campbell & Healey 2016; Carter et al. 2013 (Kenan Tepe); Khalidi, Gratuze & Boucetta 2009; Rosen et al. 2011; Rosenberg & Carter et al. 2022; Schechter et al. 2016",192,235.65,25.09,198.0,318.0,192,1.14,2.0,0.0,8.0,192,1246.81,98.06,1048.0,1459.0,192,61.4,6.47,47.0,82.0,79,132.77,18.27,92.0,180.0,192,30026.83,3111.33,20532.0,43192.0,192,636.1,95.09,396.0,840.0,192,207.78,23.43,152.0,307.0,158,1234.54,118.71,995.0,1625.0,124,16.93,42.91,0.0,179.0,70,31.73,5.29,24.0,43.0,156,46.25,19.83,22.0,110.0,68,32.41,5.81,22.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
