Rb,Sr,Zr,Nb,Y,Ti,Ba,Th,La,Ce,source,sample_id,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference,Fe,Mn,Zn,Pb,Sm,Eu,Yb,Lu,Ga,ref_quality,heavy5_cover
170.0,30.0,76.0,23.0,18.0,426.0,359.0,25.0,33.0,55.0,EGD,Göllüdag1,,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),True,Binder et al. 2011,2011.0,LA-ICP-MS,1.0,mixed (oxide wt% + ppm),True,,,,,,,,,,strong,5
175.0,54.0,121.0,21.0,19.0,623.0,420.0,25.0,37.0,63.0,EGD,Göllüdag2,,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),True,Binder et al. 2011,2011.0,LA-ICP-MS,1.0,mixed (oxide wt% + ppm),True,,,,,,,,,,strong,5
181.0,13.0,74.0,22.0,17.0,331.0,194.0,18.0,18.0,39.0,EGD,Göllüdag3,,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),True,Binder et al. 2011,2011.0,LA-ICP-MS,1.0,mixed (oxide wt% + ppm),True,,,,,,,,,,strong,5
192.0,6.7,69.0,27.0,21.0,324.0,77.0,19.0,22.0,42.0,EGD,Göllüdag4a,,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),True,Binder et al. 2011,2011.0,LA-ICP-MS,1.0,mixed (oxide wt% + ppm),True,,,,,,,,,,strong,5
187.0,7.6,68.0,26.0,20.0,342.0,98.0,19.0,22.0,41.0,EGD,Göllüdag4b,,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),True,Binder et al. 2011,2011.0,LA-ICP-MS,1.0,mixed (oxide wt% + ppm),True,,,,,,,,,,strong,5
188.0,9.0,70.0,25.0,20.0,351.0,126.0,20.0,22.0,42.0,EGD,Göllüdag5,,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),True,Binder et al. 2011,2011.0,LA-ICP-MS,1.0,mixed (oxide wt% + ppm),True,,,,,,,,,,strong,5
193.0,8.6,66.0,25.0,21.0,306.0,90.0,17.0,21.0,41.0,EGD,Göllüdag6,,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),True,Binder et al. 2011,2011.0,LA-ICP-MS,1.0,mixed (oxide wt% + ppm),True,,,,,,,,,,strong,5
199.0,5.6,61.0,27.0,19.0,310.0,55.0,16.0,19.0,38.0,EGD,Göllüdag7,,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),True,Binder et al. 2011,2011.0,LA-ICP-MS,1.0,mixed (oxide wt% + ppm),True,,,,,,,,,,strong,5
285.0,0.0,1461.0,75.0,,1072.0,0.0,,,,Nemrut Dağ/Bingöl A,kn-157,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,29377.0,575.0,250.0,49.0,,,,,,moderate,4
272.0,0.0,1433.0,70.0,,1031.0,0.0,,,,Nemrut Dağ/Bingöl A,kn-243,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,27364.0,475.0,232.0,43.0,,,,,,moderate,4
