item_id,site,period,locus,basket,material,n_readings,beam_coverage,dirt_flag,remarks,session_date,quality_flag,divergent_elements,max_cv_pct,Rb,Rb_sd,Sr,Sr_sd,Zr,Zr_sd,Nb,Nb_sd,Fe,Fe_sd,Mn,Mn_sd,Zn,Zn_sd,Ti,Ti_sd,Ba,Ba_sd,Th,Th_sd,Pb,Pb_sd,Ga,Ga_sd,Si,Si_sd,K,K_sd,Ca,Ca_sd
ein_,einan,natufian,Chert,,obsidian,2,,False,,2017-02-23 14:49:00,good,,0.0,,,,,,,,,390.0,268.7,,,,,55.0,49.5,60.0,,,,,,,,439345.0,24798.23,250.0,98.99,1105.0,572.76
ein_50155,einan,natufian,5076,50155,obsidian,3,Full,False,,2017-02-23 14:03:00,repeat_divergent,"Rb,Nb",24.7,90.0,10.0,,,66.67,5.77,23.33,5.77,7430.0,1912.83,230.0,42.43,,,420.0,117.9,,,,,36.67,20.82,,,352093.33,7772.22,32536.67,4876.32,11150.0,1182.75
ein_5251,einan,natufian,R97b,5251,obsidian,2,,False,,2017-04-05 13:11:00,good,,0.0,80.0,0.0,,,60.0,0.0,20.0,0.0,11255.0,586.9,125.0,7.07,20.0,,1745.0,190.92,,,,,30.0,0.0,,,186745.0,445.48,20830.0,282.84,21400.0,1202.08
ein_5287,einan,natufian,G98b,5287,obsidian,2,Partial,False,,2017-04-05 13:01:00,good,,9.4,95.0,7.07,,,75.0,7.07,30.0,0.0,10780.0,1004.09,215.0,63.64,,,1285.0,205.06,,,,,65.0,7.07,,,262865.0,6922.58,28465.0,784.89,37735.0,9397.45
ein_5310,einan,natufian,I97c,5310,obsidian,2,Partial,False,,2017-04-05 12:49:00,good,,0.0,100.0,0.0,,,80.0,0.0,30.0,0.0,14880.0,155.56,255.0,7.07,30.0,,2290.0,42.43,,,,,50.0,0.0,,,233425.0,1011.16,26390.0,1216.22,34235.0,8407.5
ein_5356,einan,natufian,H91,5356,obsidian,2,,False,,2017-03-30 11:23:00,repeat_divergent,Zr,10.9,90.0,0.0,,,65.0,7.07,20.0,0.0,10200.0,1612.2,140.0,28.28,20.0,0.0,1295.0,304.06,,,,,30.0,0.0,,,216410.0,25257.85,23755.0,2085.97,32060.0,10564.18
ein_5410A,einan,natufian,Q98c,5410A,obsidian,2,,False,,2017-03-30 12:02:00,repeat_divergent,Zr,10.9,85.0,7.07,,,65.0,7.07,20.0,0.0,7720.0,622.25,140.0,,20.0,,800.0,353.55,,,,,40.0,0.0,,,197975.0,20329.32,22825.0,2071.82,32635.0,7714.53
ein_5410B,einan,natufian,Q98c,5410B,obsidian,2,,False,,2017-03-30 12:43:00,good,,0.0,100.0,0.0,,,70.0,0.0,30.0,0.0,13310.0,834.39,295.0,35.36,30.0,,1670.0,282.84,,,,,55.0,7.07,,,239985.0,7544.83,27770.0,169.71,49380.0,2757.72
ein_5410C,einan,natufian,Q98c,5410C,obsidian,2,,False,,2017-03-30 12:50:00,good,,6.1,115.0,7.07,20.0,,80.0,0.0,30.0,0.0,17960.0,933.38,625.0,77.78,30.0,0.0,2090.0,339.41,,,,,80.0,14.14,,,354245.0,10175.27,45355.0,2976.92,48330.0,2842.57
ein_5444,einan,natufian,Q97a,5444,obsidian,3,,False,,2017-03-30 11:38:00,good,,8.7,83.33,5.77,,,66.67,5.77,20.0,0.0,8186.67,467.58,223.33,5.77,20.0,0.0,926.67,193.99,,,,,36.67,5.77,,,281576.67,19455.48,24796.67,2380.85,31350.0,5907.65
