reading_no,item_id,site,period,locus,basket,side,side_no,beam_coverage,dirt_flag,remarks,ndt_label,session_date,duration_sec,filter_main_sec,filter_low_sec,filter_high_sec,filter_light_sec,area,source_file,Rb,Rb_err,Sr,Sr_err,Zr,Zr_err,Nb,Nb_err,Fe,Fe_err,Mn,Mn_err,Zn,Zn_err,Ti,Ti_err,Ba,Ba_err,Th,Th_err,Pb,Pb_err,Ga,Ga_err,Si,Si_err,K,K_err,Ca,Ca_err
75,ein_6682,einan,natufian,R95,6682,ventral,1,,False,,obsidian einan 30.3.17,2017-03-30 09:37:00,121.06,,,,,,04 obsidian einan 30.3.17.xlsx,90.0,10.0,,20.0,60.0,10.0,20.0,10.0,7740.0,150.0,150.0,70.0,,20.0,750.0,40.0,,60.0,,,20.0,10.0,,,216680.0,1350.0,25920.0,330.0,17980.0,410.0
76,ein_6682,einan,natufian,R95,6682,dorsal,2,,False,,obsidian einan 30.3.17,2017-03-30 09:44:00,141.57,,,,,,04 obsidian einan 30.3.17.xlsx,90.0,10.0,,20.0,60.0,10.0,20.0,10.0,8990.0,120.0,250.0,60.0,,20.0,1180.0,40.0,,60.0,,,20.0,10.0,,,194330.0,1120.0,22530.0,310.0,28100.0,490.0
77,ein_6502,einan,natufian,S95,6502,ventral,1,,False,,obsidian einan 30.3.17,2017-03-30 09:51:00,121.93,,,,,,04 obsidian einan 30.3.17.xlsx,110.0,10.0,,20.0,110.0,10.0,30.0,10.0,10340.0,190.0,330.0,80.0,20.0,10.0,1070.0,50.0,,60.0,,,20.0,10.0,,,280820.0,1690.0,32550.0,420.0,18620.0,470.0
78,ein_6502,einan,natufian,S95,6502,dorsal,2,,False,,obsidian einan 30.3.17,2017-03-30 09:56:00,120.97,,,,,,04 obsidian einan 30.3.17.xlsx,100.0,10.0,,20.0,90.0,10.0,30.0,10.0,12090.0,310.0,230.0,120.0,,30.0,610.0,30.0,,30.0,,,60.0,10.0,,,130090.0,1330.0,14210.0,230.0,13260.0,300.0
79,ein_6502,einan,natufian,S95,6502,dorsal,3,,False,,obsidian einan 30.3.17,2017-03-30 10:12:00,120.1,,,,,,04 obsidian einan 30.3.17.xlsx,100.0,10.0,,20.0,70.0,10.0,30.0,10.0,11390.0,200.0,220.0,80.0,20.0,10.0,1370.0,50.0,,70.0,,,50.0,10.0,,,236190.0,1620.0,29620.0,400.0,28920.0,570.0
80,ein_6502,einan,natufian,S95,6502,dorsal,4,,False,,obsidian einan 30.3.17,2017-03-30 10:16:00,122.24,,,,,,04 obsidian einan 30.3.17.xlsx,100.0,10.0,,20.0,70.0,10.0,30.0,10.0,11380.0,200.0,180.0,80.0,30.0,10.0,1330.0,50.0,,60.0,,,50.0,10.0,,,235660.0,1560.0,29490.0,400.0,28810.0,570.0
81,ein_6250,einan,natufian,O98b-c,6250,ventral,1,,False,,obsidian einan 30.3.17,2017-03-30 10:22:00,121.31,,,,,,04 obsidian einan 30.3.17.xlsx,120.0,10.0,20.0,10.0,80.0,10.0,40.0,10.0,17230.0,340.0,600.0,120.0,,30.0,2120.0,90.0,,90.0,,,80.0,10.0,,,277790.0,2070.0,34280.0,540.0,65160.0,1030.0
82,ein_6250,einan,natufian,O98b-c,6250,dorsal,2,,False,,obsidian einan 30.3.17,2017-03-30 10:25:00,120.14,,,,,,04 obsidian einan 30.3.17.xlsx,110.0,10.0,20.0,10.0,70.0,10.0,30.0,10.0,16600.0,320.0,400.0,110.0,20.0,10.0,2370.0,90.0,,80.0,,,80.0,10.0,,,214400.0,1780.0,26560.0,450.0,82530.0,1110.0
83,ein_6084,einan,natufian,T100,6084,ventral,1,,False,,obsidian einan 30.3.17,2017-03-30 10:30:00,120.01,,,,,,04 obsidian einan 30.3.17.xlsx,110.0,10.0,,20.0,70.0,10.0,30.0,10.0,11720.0,250.0,340.0,100.0,20.0,10.0,1240.0,60.0,,80.0,,,70.0,10.0,,,295580.0,2060.0,34300.0,500.0,26730.0,630.0
84,ein_6084,einan,natufian,T100,6084,dorsal,2,,False,,obsidian einan 30.3.17,2017-03-30 10:34:00,121.43,,,,,,04 obsidian einan 30.3.17.xlsx,100.0,10.0,,20.0,70.0,10.0,30.0,10.0,11590.0,240.0,360.0,100.0,,20.0,1290.0,60.0,,80.0,,,70.0,10.0,,,248920.0,1830.0,28720.0,440.0,56030.0,860.0
