sample_id,source,source_raw,site,paper,year,method,method_tier,units,is_source_reference,notes,verification_flag,Rb,Sr,Zr,Nb,Y,Ba,Ti,Th,U,Fe,Mn,Zn,Pb,Ga,source_file
Göllüdag1,EGD,Göllüdag1,,Binder et al. 2011,2011.0,LA-ICP-MS,1.0,mixed (oxide wt% + ppm),True,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),False,170.0,30.0,76.0,23.0,18.0,359.0,426.0,25.0,7.3,,,,,,binder_2011.csv
Göllüdag2,EGD,Göllüdag2,,Binder et al. 2011,2011.0,LA-ICP-MS,1.0,mixed (oxide wt% + ppm),True,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),False,175.0,54.0,121.0,21.0,19.0,420.0,623.0,25.0,8.0,,,,,,binder_2011.csv
Göllüdag3,EGD,Göllüdag3,,Binder et al. 2011,2011.0,LA-ICP-MS,1.0,mixed (oxide wt% + ppm),True,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),False,181.0,13.0,74.0,22.0,17.0,194.0,331.0,18.0,8.0,,,,,,binder_2011.csv
Göllüdag4a,EGD,Göllüdag4a,,Binder et al. 2011,2011.0,LA-ICP-MS,1.0,mixed (oxide wt% + ppm),True,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),False,192.0,6.7,69.0,27.0,21.0,77.0,324.0,19.0,8.4,,,,,,binder_2011.csv
Göllüdag4b,EGD,Göllüdag4b,,Binder et al. 2011,2011.0,LA-ICP-MS,1.0,mixed (oxide wt% + ppm),True,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),False,187.0,7.6,68.0,26.0,20.0,98.0,342.0,19.0,7.9,,,,,,binder_2011.csv
Göllüdag5,EGD,Göllüdag5,,Binder et al. 2011,2011.0,LA-ICP-MS,1.0,mixed (oxide wt% + ppm),True,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),False,188.0,9.0,70.0,25.0,20.0,126.0,351.0,20.0,8.3,,,,,,binder_2011.csv
Göllüdag6,EGD,Göllüdag6,,Binder et al. 2011,2011.0,LA-ICP-MS,1.0,mixed (oxide wt% + ppm),True,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),False,193.0,8.6,66.0,25.0,21.0,90.0,306.0,17.0,8.6,,,,,,binder_2011.csv
Göllüdag7,EGD,Göllüdag7,,Binder et al. 2011,2011.0,LA-ICP-MS,1.0,mixed (oxide wt% + ppm),True,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),False,199.0,5.6,61.0,27.0,19.0,55.0,310.0,16.0,9.3,,,,,,binder_2011.csv
kn-157,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,285.0,0.0,1461.0,75.0,,0.0,1072.0,,,29377.0,575.0,250.0,49.0,,campbell_healey_2016.csv
kn-243,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,272.0,0.0,1433.0,70.0,,0.0,1031.0,,,27364.0,475.0,232.0,43.0,,campbell_healey_2016.csv
kn-591,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,235.0,0.0,1431.0,69.0,,78.0,1105.0,,,29778.0,711.0,222.0,37.0,,campbell_healey_2016.csv
kn-822,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,233.0991467173488,0.0,1275.059470469253,59.29657112124584,,164.25417162472849,1051.945450783227,,,26538.71142134288,615.2421664384365,211.6388289177946,41.392725388721495,,campbell_healey_2016.csv
,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,256.2747866793372,0.0,1400.0148676173133,68.32414278031146,,,1064.9863626958067,,,28264.42785533572,594.0605416096091,228.90970722944863,42.59818134718037,,campbell_healey_2016.csv
kn-002,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,213.0,0.0,1247.0,54.0,100.0,0.0,906.0,,,20963.0,494.0,182.0,27.0,,campbell_healey_2016.csv
kn-004,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,214.0,0.0,1266.0,54.0,103.0,0.0,863.0,,,20314.0,463.0,186.0,28.0,,campbell_healey_2016.csv
kn-005,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,214.0,0.0,1266.0,55.0,100.0,0.0,917.0,,,21471.0,436.0,186.0,30.0,,campbell_healey_2016.csv
kn-006,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,211.0,0.0,1247.0,54.0,98.0,0.0,919.0,,,20897.0,462.0,183.0,27.0,,campbell_healey_2016.csv
kn-007,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,215.0,0.0,1251.0,54.0,102.0,0.0,955.0,,,21331.0,497.0,180.0,27.0,,campbell_healey_2016.csv
kn-015,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,206.0,0.0,1221.0,55.0,94.0,96.0,883.0,,,20569.0,557.0,182.0,29.0,,campbell_healey_2016.csv
kn-016,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,210.0,0.0,1256.0,57.0,100.0,0.0,910.0,,,20883.0,487.0,181.0,29.0,,campbell_healey_2016.csv
kn-020,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,206.0,0.0,1222.0,53.0,97.0,80.0,871.0,,,20450.0,547.0,185.0,31.0,,campbell_healey_2016.csv
kn-022,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,213.0,0.0,1269.0,54.0,100.0,0.0,904.0,,,20832.0,525.0,178.0,27.0,,campbell_healey_2016.csv
kn-023,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,199.0,0.0,1251.0,66.0,,0.0,947.0,,,20101.0,513.0,177.0,25.0,,campbell_healey_2016.csv
kn-025,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,202.0,0.0,1265.0,66.0,,70.0,815.0,,,21166.0,572.0,174.0,28.0,,campbell_healey_2016.csv
kn-029,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,201.0,0.0,1254.0,63.0,,0.0,859.0,,,20109.0,602.0,192.0,29.0,,campbell_healey_2016.csv
kn-031,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,207.0,0.0,1294.0,65.0,,0.0,913.0,,,21101.0,559.0,199.0,32.0,,campbell_healey_2016.csv
kn-035,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,207.0,0.0,1262.0,65.0,,0.0,886.0,,,21048.0,531.0,184.0,27.0,,campbell_healey_2016.csv
kn-036,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,203.0,0.0,1249.0,64.0,,0.0,918.0,,,20776.0,574.0,184.0,25.0,,campbell_healey_2016.csv
kn-038,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,214.0,0.0,1294.0,66.0,,0.0,903.0,,,21888.0,534.0,191.0,28.0,,campbell_healey_2016.csv
kn-042,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,210.0,0.0,1277.0,66.0,,0.0,817.0,,,21494.0,491.0,192.0,28.0,,campbell_healey_2016.csv
