Reference number,Sample note,Source,Al,Si,K,Ca,Ti,Mn,Fe,Zn,Rb,Sr,Y,Zr,Nb,Ba,Pb,source,sample_id,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference
kn-157,,Nemrut Dağ/Bingöl A,74448.0,364527.0,39440.0,3862.0,1072.0,575.0,29377.0,250.0,285.0,0.0,,1461.0,75.0,0.0,49.0,Nemrut Dağ/Bingöl A,kn-157,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-243,mean of 3 readings,Nemrut Dağ/Bingöl A,70176.0,366321.0,38538.0,2956.0,1031.0,475.0,27364.0,232.0,272.0,0.0,,1433.0,70.0,0.0,43.0,Nemrut Dağ/Bingöl A,kn-243,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-591,,Nemrut Dağ/Bingöl A,69326.0,362071.0,35111.0,2762.0,1105.0,711.0,29778.0,222.0,235.0,0.0,,1431.0,69.0,78.0,37.0,Nemrut Dağ/Bingöl A,kn-591,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-822,mean of 2 readings,Nemrut Dağ/Bingöl A,69100.97879443092,354726.08698357973,35776.12978644781,3358.129668636828,1051.945450783227,615.2421664384365,26538.71142134288,211.6388289177946,233.0991467173488,0.0,,1275.059470469253,59.29657112124584,164.25417162472849,41.392725388721495,Nemrut Dağ/Bingöl A,kn-822,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
,,Nemrut Dağ/Bingöl A,70762.74469860773,361911.2717458949,37216.28244661195,3234.532417159207,1064.9863626958067,594.0605416096091,28264.42785533572,228.90970722944863,256.2747866793372,0.0,,1400.0148676173133,68.32414278031146,,42.59818134718037,Nemrut Dağ/Bingöl A,,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-002,mean of 3 readings,Nemrut Dağ,67561.0,365928.0,40844.0,3289.0,906.0,494.0,20963.0,182.0,213.0,0.0,100.0,1247.0,54.0,0.0,27.0,NemrutDag,kn-002,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-004,mean of 3 readings,Nemrut Dağ,67342.0,362645.0,54217.0,3277.0,863.0,463.0,20314.0,186.0,214.0,0.0,103.0,1266.0,54.0,0.0,28.0,NemrutDag,kn-004,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-005,mean of 3 readings,Nemrut Dağ,68532.0,374303.0,41799.0,2173.0,917.0,436.0,21471.0,186.0,214.0,0.0,100.0,1266.0,55.0,0.0,30.0,NemrutDag,kn-005,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-006,mean of 3 readings,Nemrut Dağ,67922.0,369350.0,43253.0,2159.0,919.0,462.0,20897.0,183.0,211.0,0.0,98.0,1247.0,54.0,0.0,27.0,NemrutDag,kn-006,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-007,mean of 3 readings,Nemrut Dağ,67439.0,357891.0,42562.0,4948.0,955.0,497.0,21331.0,180.0,215.0,0.0,102.0,1251.0,54.0,0.0,27.0,NemrutDag,kn-007,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-015,mean of 4 readings,Nemrut Dağ,66782.0,356480.0,38921.0,2637.0,883.0,557.0,20569.0,182.0,206.0,0.0,94.0,1221.0,55.0,96.0,29.0,NemrutDag,kn-015,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-016,mean of 4 readings,Nemrut Dağ,70435.0,376823.0,40346.0,2295.0,910.0,487.0,20883.0,181.0,210.0,0.0,100.0,1256.0,57.0,0.0,29.0,NemrutDag,kn-016,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-020,mean of 3 readings,Nemrut Dağ,68397.0,366074.0,39550.0,2390.0,871.0,547.0,20450.0,185.0,206.0,0.0,97.0,1222.0,53.0,80.0,31.0,NemrutDag,kn-020,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-022,mean of 3 readings,Nemrut Dağ,72639.0,392482.0,43851.0,2416.0,904.0,525.0,20832.0,178.0,213.0,0.0,100.0,1269.0,54.0,0.0,27.0,NemrutDag,kn-022,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-023,,Nemrut Dağ,72059.0,364005.0,38884.0,5548.0,947.0,513.0,20101.0,177.0,199.0,0.0,,1251.0,66.0,0.0,25.0,NemrutDag,kn-023,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-025,,Nemrut Dağ,71682.0,361214.0,36079.0,3079.0,815.0,572.0,21166.0,174.0,202.0,0.0,,1265.0,66.0,70.0,28.0,NemrutDag,kn-025,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-029,,Nemrut Dağ,68237.0,350526.0,33778.0,3247.0,859.0,602.0,20109.0,192.0,201.0,0.0,,1254.0,63.0,0.0,29.0,NemrutDag,kn-029,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-031,,Nemrut Dağ,71634.0,364734.0,36834.0,3082.0,913.0,559.0,21101.0,199.0,207.0,0.0,,1294.0,65.0,0.0,32.0,NemrutDag,kn-031,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-035,,Nemrut Dağ,71480.0,364938.0,36337.0,3046.0,886.0,531.0,21048.0,184.0,207.0,0.0,,1262.0,65.0,0.0,27.0,NemrutDag,kn-035,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-036,,Nemrut Dağ,69888.0,357058.0,36542.0,3027.0,918.0,574.0,20776.0,184.0,203.0,0.0,,1249.0,64.0,0.0,25.0,NemrutDag,kn-036,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-038,,Nemrut Dağ,71592.0,365167.0,37846.0,2863.0,903.0,534.0,21888.0,191.0,214.0,0.0,,1294.0,66.0,0.0,28.0,NemrutDag,kn-038,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-042,,Nemrut Dağ,70402.0,361103.0,40547.0,2965.0,817.0,491.0,21494.0,192.0,210.0,0.0,,1277.0,66.0,0.0,28.0,NemrutDag,kn-042,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-043,,Nemrut Dağ,69179.0,361528.0,39058.0,3187.0,895.0,502.0,21346.0,172.0,205.0,0.0,,1268.0,65.0,0.0,32.0,NemrutDag,kn-043,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-044,,Nemrut Dağ,68961.0,340524.0,49712.0,5177.0,874.0,612.0,20459.0,180.0,205.0,0.0,,1250.0,61.0,0.0,25.0,NemrutDag,kn-044,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-045,,Nemrut Dağ,70149.0,353897.0,35299.0,5424.0,912.0,551.0,21013.0,184.0,210.0,0.0,,1256.0,65.0,0.0,23.0,NemrutDag,kn-045,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-046,,Nemrut Dağ,70366.0,356859.0,36896.0,2935.0,821.0,498.0,21120.0,190.0,201.0,0.0,,1267.0,64.0,0.0,27.0,NemrutDag,kn-046,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-048,,Nemrut Dağ,70544.0,359423.0,44182.0,6071.0,937.0,498.0,21433.0,181.0,214.0,0.0,,1301.0,67.0,0.0,28.0,NemrutDag,kn-048,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-050,,Nemrut Dağ,71632.0,363862.0,36913.0,3049.0,887.0,523.0,21300.0,182.0,208.0,0.0,,1280.0,67.0,0.0,28.0,NemrutDag,kn-050,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-055,,Nemrut Dağ,69794.0,362262.0,51324.0,2692.0,886.0,500.0,24671.0,215.0,258.0,0.0,,1381.0,65.0,0.0,45.0,NemrutDag,kn-055,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-057,,Nemrut Dağ,75552.0,383468.0,43110.0,3226.0,973.0,537.0,24436.0,212.0,227.0,0.0,,1357.0,70.0,0.0,34.0,NemrutDag,kn-057,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-058,,Nemrut Dağ,71460.0,361487.0,60605.0,2817.0,809.0,439.0,20832.0,178.0,205.0,0.0,,1288.0,66.0,0.0,29.0,NemrutDag,kn-058,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
