source_raw,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,TiO2,Co,Rb,Sr,Y,Zr,Nb,Cs,Ba,Hf,Ta,W,Pb,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Yb,Lu,source,sample_id,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference
Gollu Dag East,13.07,0.78,0.06,0.09,0.56,3.59,4.25,0.05,0.2,180,12.7,22.5,78.1,23.6,8.06,170.0,3.17,2.07,3.35,21.8,20.6,7.86,22.5,43.3,4.33,13.1,2.69,0.16,2.59,0.49,3.03,0.66,1.96,2.19,0.35,EGD,,,"ICP-AES for major oxides, ICP-MS for trace elements; Gollu Dag East + Nenezi Dag + Acıgol West",False,Carter et al. 2006,2006,ICP-MS/ICP-AES,1,mixed (oxide wt% + ppm),True
Gollu Dag East,12.96,0.73,0.06,0.09,0.59,3.5,4.35,0.05,0.17,177,12.2,22.6,76.1,23.9,8.01,157.0,3.17,2.27,3.51,21.3,20.7,7.86,21.7,42.0,4.23,13.0,2.64,0.15,2.58,0.48,2.99,0.66,2.0,2.15,0.35,EGD,,,"ICP-AES for major oxides, ICP-MS for trace elements; Gollu Dag East + Nenezi Dag + Acıgol West",False,Carter et al. 2006,2006,ICP-MS/ICP-AES,1,mixed (oxide wt% + ppm),True
Gollu Dag East,12.86,0.73,0.06,0.08,0.58,3.63,4.19,0.05,0.19,185,12.9,23.0,78.7,25.4,8.27,173.0,3.12,2.35,3.64,22.4,20.8,7.95,22.9,44.4,4.43,13.4,2.69,0.15,2.62,0.5,3.0,0.66,1.96,2.18,0.35,EGD,,,"ICP-AES for major oxides, ICP-MS for trace elements; Gollu Dag East + Nenezi Dag + Acıgol West",False,Carter et al. 2006,2006,ICP-MS/ICP-AES,1,mixed (oxide wt% + ppm),True
Gollu Dag East,12.87,0.73,0.06,0.07,0.55,3.65,4.23,0.05,0.17,185,14.5,23.1,79.0,25.4,8.38,176.0,3.11,2.33,3.6,22.7,21.1,7.97,23.4,45.2,4.5,13.7,2.76,0.16,2.65,0.5,3.02,0.65,1.99,2.16,0.34,EGD,,,"ICP-AES for major oxides, ICP-MS for trace elements; Gollu Dag East + Nenezi Dag + Acıgol West",False,Carter et al. 2006,2006,ICP-MS/ICP-AES,1,mixed (oxide wt% + ppm),True
Gollu Dag East,12.69,0.76,0.06,0.07,0.59,3.56,4.31,0.05,0.18,175,12.4,21.9,75.8,23.8,7.81,165.0,3.05,2.15,3.3,21.4,19.9,7.8,21.7,42.3,4.24,12.7,2.53,0.15,2.55,0.49,2.93,0.63,1.93,2.17,0.34,EGD,,,"ICP-AES for major oxides, ICP-MS for trace elements; Gollu Dag East + Nenezi Dag + Acıgol West",False,Carter et al. 2006,2006,ICP-MS/ICP-AES,1,mixed (oxide wt% + ppm),True
Gollu Dag East,12.6,0.72,0.06,0.07,0.58,3.54,4.25,0.05,0.19,178,11.4,22.5,76.0,22.9,8.03,139.0,3.04,1.98,3.18,21.4,19.6,7.95,21.5,42.3,4.19,12.8,2.55,0.14,2.61,0.49,2.97,0.64,2.01,2.18,0.35,EGD,,,"ICP-AES for major oxides, ICP-MS for trace elements; Gollu Dag East + Nenezi Dag + Acıgol West",False,Carter et al. 2006,2006,ICP-MS/ICP-AES,1,mixed (oxide wt% + ppm),True
Gollu Dag East,12.59,0.71,0.06,0.07,0.61,4.13,4.52,0.05,0.18,181,12.3,22.7,76.7,24.6,8.02,158.0,3.14,2.3,3.42,22.0,19.9,7.95,22.3,43.7,4.31,13.0,2.57,0.15,2.62,0.5,2.94,0.65,1.97,2.19,0.34,EGD,,,"ICP-AES for major oxides, ICP-MS for trace elements; Gollu Dag East + Nenezi Dag + Acıgol West",False,Carter et al. 2006,2006,ICP-MS/ICP-AES,1,mixed (oxide wt% + ppm),True
Gollu Dag East,12.58,0.73,0.06,0.07,0.58,4.15,4.28,0.05,0.19,179,12.8,22.5,77.1,24.1,8.0,167.0,3.17,2.23,3.51,22.1,20.3,7.78,22.1,42.9,4.27,12.8,2.63,0.15,2.65,0.49,2.95,0.65,1.93,2.15,0.34,EGD,,,"ICP-AES for major oxides, ICP-MS for trace elements; Gollu Dag East + Nenezi Dag + Acıgol West",False,Carter et al. 2006,2006,ICP-MS/ICP-AES,1,mixed (oxide wt% + ppm),True
Gollu Dag East,12.65,0.73,0.06,0.07,0.61,4.12,4.2,0.05,0.21,175,12.3,22.1,76.1,24.1,7.92,161.0,3.14,2.27,3.58,21.6,20.2,7.77,21.6,41.8,4.25,12.9,2.63,0.15,2.62,0.48,2.94,0.65,1.94,2.2,0.34,EGD,,,"ICP-AES for major oxides, ICP-MS for trace elements; Gollu Dag East + Nenezi Dag + Acıgol West",False,Carter et al. 2006,2006,ICP-MS/ICP-AES,1,mixed (oxide wt% + ppm),True
Gollu Dag East,12.89,0.74,0.06,0.06,0.58,4.15,4.63,0.05,0.19,179,12.8,22.5,75.6,23.1,8.21,170.0,3.03,1.73,3.03,22.7,19.8,7.79,22.9,44.9,4.53,13.6,2.7,0.16,2.71,0.49,3.01,0.64,1.87,2.17,0.34,EGD,,,"ICP-AES for major oxides, ICP-MS for trace elements; Gollu Dag East + Nenezi Dag + Acıgol West",False,Carter et al. 2006,2006,ICP-MS/ICP-AES,1,mixed (oxide wt% + ppm),True
Gollu Dag East,12.65,0.75,0.06,0.06,0.57,4.1,4.42,0.05,0.16,176,12.5,22.8,77.2,25.0,7.86,162.0,3.08,2.3,3.31,21.6,19.4,7.73,22.2,43.5,4.31,13.3,2.64,0.15,2.7,0.5,3.03,0.65,1.96,2.15,0.34,EGD,,,"ICP-AES for major oxides, ICP-MS for trace elements; Gollu Dag East + Nenezi Dag + Acıgol West",False,Carter et al. 2006,2006,ICP-MS/ICP-AES,1,mixed (oxide wt% + ppm),True
Gollu Dag East,12.68,0.73,0.06,0.06,0.56,3.97,4.44,0.05,0.16,170,12.4,22.0,75.8,23.7,7.66,164.0,3.08,2.22,3.17,21.2,19.2,7.57,21.6,42.3,4.2,12.8,2.58,0.16,2.63,0.48,2.93,0.63,1.9,2.1,0.33,EGD,,,"ICP-AES for major oxides, ICP-MS for trace elements; Gollu Dag East + Nenezi Dag + Acıgol West",False,Carter et al. 2006,2006,ICP-MS/ICP-AES,1,mixed (oxide wt% + ppm),True
Gollu Dag East,12.41,0.72,0.06,0.06,0.6,3.92,4.51,0.05,0.24,178,13.2,23.4,77.8,25.7,7.27,167.0,3.12,2.38,3.46,22.0,19.8,7.86,22.8,44.0,4.36,13.4,2.75,0.16,2.7,0.49,3.07,0.66,1.97,2.26,0.36,EGD,,,"ICP-AES for major oxides, ICP-MS for trace elements; Gollu Dag East + Nenezi Dag + Acıgol West",False,Carter et al. 2006,2006,ICP-MS/ICP-AES,1,mixed (oxide wt% + ppm),True
Gollu Dag East,12.54,0.75,0.07,0.05,0.55,3.96,4.33,0.05,0.16,183,10.4,24.5,77.6,26.9,7.62,113.0,3.22,2.51,3.62,22.1,19.7,8.17,22.5,44.0,4.44,13.6,2.79,0.13,2.7,0.52,3.17,0.68,2.05,2.35,0.37,EGD,,,"ICP-AES for major oxides, ICP-MS for trace elements; Gollu Dag East + Nenezi Dag + Acıgol West",False,Carter et al. 2006,2006,ICP-MS/ICP-AES,1,mixed (oxide wt% + ppm),True
Gollu Dag East,12.5,0.75,0.06,0.05,0.57,3.93,4.48,0.05,0.15,177,13.0,23.0,77.4,24.1,7.31,174.0,3.12,1.92,3.03,22.8,19.6,8.0,23.5,46.4,4.58,14.0,2.79,0.16,2.73,0.5,3.09,0.67,1.99,2.22,0.36,EGD,,,"ICP-AES for major oxides, ICP-MS for trace elements; Gollu Dag East + Nenezi Dag + Acıgol West",False,Carter et al. 2006,2006,ICP-MS/ICP-AES,1,mixed (oxide wt% + ppm),True
Gollu Dag East,12.49,0.77,0.06,0.06,0.57,3.97,5.31,0.05,0.16,177,12.7,23.2,78.2,25.7,7.32,166.0,3.19,2.44,3.57,22.5,20.0,7.9,23.1,44.9,4.45,13.5,2.75,0.16,2.68,0.5,3.05,0.66,2.03,2.24,0.36,EGD,,,"ICP-AES for major oxides, ICP-MS for trace elements; Gollu Dag East + Nenezi Dag + Acıgol West",False,Carter et al. 2006,2006,ICP-MS/ICP-AES,1,mixed (oxide wt% + ppm),True
Gollu Dag East,12.68,0.76,0.07,0.06,0.56,3.92,4.53,0.05,0.16,171,10.6,22.5,74.6,24.6,7.1,128.0,3.04,2.33,3.46,20.6,19.3,7.48,21.3,41.3,4.18,12.8,2.54,0.13,2.59,0.48,3.01,0.65,1.9,2.17,0.34,EGD,,,"ICP-AES for major oxides, ICP-MS for trace elements; Gollu Dag East + Nenezi Dag + Acıgol West",False,Carter et al. 2006,2006,ICP-MS/ICP-AES,1,mixed (oxide wt% + ppm),True
