sample_id,Ti,Mn,Fe,Rb,Sr,Y,Zr,Nb,Ba,Pb,Th,source,site,notes,verification_flag,paper,year,method,method_tier,units
SH.001,778.0,395.0,7585.0,197.0,20.0,26.0,91.0,18.0,245.0,25.0,18.0,EGD,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.003,846.0,404.0,7643.0,198.0,19.0,26.0,83.0,32.0,290.0,25.0,49.0,EGD,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.007,966.0,425.0,8060.0,200.0,18.0,23.0,82.0,27.0,297.0,28.0,45.0,EGD,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.012,802.0,412.0,7862.0,202.0,18.0,22.0,88.0,26.0,288.0,27.0,41.0,EGD,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.015,854.0,394.0,7603.0,203.0,17.0,25.0,84.0,29.0,248.0,26.0,43.0,EGD,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.016,823.0,387.0,7434.0,197.0,19.0,26.0,87.0,30.0,273.0,24.0,40.0,EGD,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.017,743.0,362.0,7035.0,187.0,17.0,24.0,93.0,19.0,270.0,26.0,32.0,EGD,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.019,849.0,442.0,7580.0,195.0,19.0,25.0,86.0,24.0,274.0,26.0,35.0,EGD,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.021,815.0,408.0,7504.0,191.0,17.0,26.0,83.0,22.0,299.0,26.0,40.0,EGD,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.022,889.0,427.0,7572.0,187.0,18.0,22.0,81.0,21.0,263.0,25.0,31.0,EGD,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.027,918.0,398.0,7130.0,165.0,18.0,19.0,78.0,21.0,246.0,24.0,29.0,EGD,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.031,880.0,362.0,7137.0,184.0,15.0,22.0,83.0,20.0,284.0,24.0,25.0,EGD,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.032,731.0,367.0,7253.0,191.0,18.0,25.0,96.0,18.0,301.0,24.0,23.0,EGD,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.033,780.0,393.0,7685.0,202.0,17.0,22.0,90.0,20.0,282.0,24.0,21.0,EGD,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.034,1022.0,401.0,7560.0,187.0,17.0,22.0,77.0,20.0,172.0,26.0,23.0,EGD,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.002,1102.0,401.0,22785.0,226.0,7.0,127.0,1181.0,80.0,23.0,41.0,61.0,NemrutDag,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.030,1029.0,376.0,22026.0,225.0,7.0,128.0,1189.0,61.0,23.0,41.0,32.0,NemrutDag,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.004,1166.0,457.0,10661.0,169.0,104.0,24.0,139.0,22.0,763.0,28.0,49.0,ND,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.006,1179.0,422.0,9953.0,162.0,99.0,19.0,139.0,26.0,833.0,27.0,43.0,ND,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
SH.008,1271.0,530.0,13476.0,214.0,117.0,24.0,155.0,18.0,787.0,32.0,37.0,ND,Sha'ar Hagolan,,False,Carter et al. 2017,2017,EDXRF,2,ppm
