sample_id,Zr,Zr_err,Sr,Sr_err,Rb,Rb_err,Zn,Zn_err,Mn,Mn_err,Ti,source,site,notes,verification_flag,paper,year,method,method_tier,units
1,89.0,4.0,158.0,3.0,28.0,2.0,41.0,6.0,551.0,42.0,3206.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
2,86.0,4.0,148.0,3.0,26.0,2.0,35.0,6.0,529.0,45.0,2977.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
3,86.0,4.0,157.0,4.0,26.0,2.0,43.0,7.0,555.0,46.0,3146.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
4,87.0,4.0,154.0,4.0,26.0,2.0,43.0,7.0,614.0,48.0,3283.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
5,87.0,4.0,159.0,4.0,26.0,2.0,38.0,7.0,602.0,47.0,3279.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
6,87.0,4.0,148.0,3.0,25.0,2.0,41.0,7.0,538.0,46.0,3047.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
7,86.0,4.0,162.0,4.0,26.0,2.0,40.0,7.0,566.0,46.0,3042.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
Mean,87.0,,155.0,,26.0,,40.0,,565.0,,3140.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
S_Dev,1.0,,5.0,,1.0,,3.0,,32.0,,122.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
%RSD,0.01,,0.03,,0.03,,0.07,,0.06,,0.04,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
1,57.0,3.0,76.0,2.0,11.0,1.0,,5.0,87.0,22.0,552.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
2,54.0,3.0,78.0,2.0,11.0,1.0,,6.0,86.0,24.0,616.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
