sample_id,Mn,Fe,Zn,Ga,Th,Rb,Sr,Y,Zr,Nb,source,site,notes,verification_flag,paper,year,method,method_tier,units
EZPR 10585.1,447.0,5127.0,30.0,21.0,15.0,126.0,36.0,25.0,97.0,30.0,GolluDag,,,False,Schechter et al. 2016,2016,pXRF,1,ppm
EZPR 10585.2,591.0,6027.0,43.0,26.0,14.0,141.0,39.0,27.0,98.0,33.0,GolluDag,,,False,Schechter et al. 2016,2016,pXRF,1,ppm
EZPR 13451,422.0,20532.0,159.0,22.0,24.0,213.0,0.0,132.0,1142.0,69.0,BingolA,,,False,Schechter et al. 2016,2016,pXRF,1,ppm
EZPR 14426,284.0,7227.0,29.0,26.0,18.0,152.0,27.0,28.0,121.0,18.0,GolluDag,,,False,Schechter et al. 2016,2016,pXRF,1,ppm
EZPR 14445,515.0,7664.0,34.0,26.0,20.0,202.0,13.0,24.0,93.0,23.0,GolluDag,,,False,Schechter et al. 2016,2016,pXRF,1,ppm
EZPR 14486,328.0,15971.0,41.0,30.0,30.0,258.0,48.0,34.0,347.0,21.0,BingolB,,,False,Schechter et al. 2016,2016,pXRF,1,ppm
EZPR 14759,572.0,30870.0,198.0,26.0,29.0,242.0,0.0,142.0,1186.0,63.0,BingolA,,,False,Schechter et al. 2016,2016,pXRF,1,ppm
EZPR 14948.1,697.0,30474.0,189.0,24.0,31.0,230.0,1.0,142.0,1170.0,62.0,BingolA,,,False,Schechter et al. 2016,2016,pXRF,1,ppm
EZPR 14948.2,384.0,16233.0,61.0,29.0,30.0,253.0,50.0,34.0,332.0,20.0,BingolB,,,False,Schechter et al. 2016,2016,pXRF,1,ppm
EZPR 14948.3,338.0,12723.0,38.0,19.0,29.0,220.0,44.0,32.0,300.0,17.0,BingolB,,,False,Schechter et al. 2016,2016,pXRF,1,ppm
EZPR 14954,442.0,5623.0,18.0,13.0,21.0,179.0,10.0,22.0,81.0,21.0,GolluDag,,,False,Schechter et al. 2016,2016,pXRF,1,ppm
EZPR 14963,633.0,7750.0,31.0,30.0,27.0,227.0,12.0,27.0,104.0,26.0,GolluDag,,,False,Schechter et al. 2016,2016,pXRF,1,ppm
