paper,year,method,method_tier,role,source_raw,source_norm,source_region,sample_id,units,notes,Rb,Sr,Y,Zr,Nb,Ti,Mn,Fe,Zn,Ga,Ba,Pb,Th
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-009,ppm,Kenan Tepe artifacts grouped by assigned source,233.0,0.0,110.0,1309.0,54.0,1311.0,619.0,31028.0,222.0,,0.0,37.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-017,ppm,Kenan Tepe artifacts grouped by assigned source,228.0,1.0,107.0,1276.0,52.0,1203.0,676.0,30522.0,213.0,,0.0,36.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-018,ppm,Kenan Tepe artifacts grouped by assigned source,221.0,0.0,101.0,1134.0,47.0,1263.0,576.0,29108.0,188.0,,0.0,31.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-030,ppm,Kenan Tepe artifacts grouped by assigned source,222.0,1.0,92.0,1148.0,51.0,1329.0,779.0,32606.0,199.0,,0.0,35.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-033,ppm,Kenan Tepe artifacts grouped by assigned source,216.0,0.0,92.0,1121.0,49.0,1132.0,699.0,27797.0,191.0,,0.0,35.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-037,ppm,Kenan Tepe artifacts grouped by assigned source,224.0,0.0,102.0,1266.0,51.0,1114.0,678.0,29370.0,218.0,,117.0,37.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-040,ppm,Kenan Tepe artifacts grouped by assigned source,237.0,0.0,100.0,1149.0,51.0,1504.0,673.0,35197.0,205.0,,0.0,35.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-041,ppm,Kenan Tepe artifacts grouped by assigned source,224.0,0.0,,1307.0,63.0,1147.0,720.0,30214.0,213.0,,0.0,40.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-049,ppm,Kenan Tepe artifacts grouped by assigned source,230.1256720086491,0.0,101.0,1235.3513327270598,52.373153623050136,1004.9017251985728,607.004436503109,25840.20956905156,199.9599877877786,,0.0,39.67155151902154,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-054,ppm,Kenan Tepe artifacts grouped by assigned source,233.51732399676007,0.4549418259729836,107.0,1310.0172212872171,54.23461458549486,1158.885875422636,686.6049638326845,31391.789172664412,226.41115812604798,,0.0,37.21876679902688,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-063,ppm,Kenan Tepe artifacts grouped by assigned source,221.0,0.0,,1170.0,55.0,1236.0,644.0,30200.0,208.0,,0.0,36.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-064,ppm,Kenan Tepe artifacts grouped by assigned source,226.0,0.0,,1169.0,58.0,1150.0,776.0,28955.0,200.0,,0.0,42.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-069,ppm,Kenan Tepe artifacts grouped by assigned source,221.0,2.0,,1301.0,64.0,1175.0,704.0,29942.0,214.0,,0.0,48.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-072,ppm,Kenan Tepe artifacts grouped by assigned source,226.0,0.0,,1195.0,58.0,1243.0,673.0,30624.0,207.0,,0.0,32.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-080,ppm,Kenan Tepe artifacts grouped by assigned source,212.0,0.0,,1118.0,59.0,1333.0,688.0,32459.0,209.0,,0.0,32.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-084,ppm,Kenan Tepe artifacts grouped by assigned source,227.0,0.0,,1203.0,59.0,1263.0,701.0,31021.0,197.0,,0.0,32.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-085,ppm,Kenan Tepe artifacts grouped by assigned source,233.0,0.0,,1206.0,59.0,1207.0,602.0,30950.0,191.0,,0.0,37.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-090,ppm,Kenan Tepe artifacts grouped by assigned source,237.0,0.0,,1287.0,60.0,1077.0,653.0,27316.0,200.0,,0.0,43.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-099,ppm,Kenan Tepe artifacts grouped by assigned source,217.0,0.0,,1126.0,58.0,1280.0,814.0,32577.0,211.0,,92.0,38.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-103,ppm,Kenan Tepe artifacts grouped by assigned source,223.0,0.0,,1177.0,60.0,1221.0,720.0,29724.0,197.0,,0.0,41.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-106,ppm,Kenan Tepe artifacts grouped by assigned source,212.0,0.0,,1122.0,56.0,1132.0,653.0,27925.0,188.0,,0.0,32.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-108,ppm,Kenan Tepe artifacts grouped by assigned source,214.0,0.0,,1116.0,53.0,1272.0,664.0,31343.0,196.0,,0.0,33.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-113,ppm,Kenan Tepe artifacts grouped by assigned source,266.0,2.0,,1323.0,68.0,1326.0,659.0,33988.0,246.0,,0.0,46.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-120,ppm,Kenan Tepe artifacts grouped by assigned source,245.0,2.0,,1430.0,66.0,1203.0,742.0,33760.0,235.0,,0.0,41.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-126,ppm,Kenan Tepe artifacts grouped by assigned source,229.0,0.0,,1182.0,58.0,1174.0,685.0,29999.0,199.0,,0.0,37.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-133,ppm,Kenan Tepe artifacts grouped by assigned source,222.0,0.0,,1174.0,56.0,1139.0,614.0,29023.0,186.0,,0.0,39.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-142,ppm,Kenan Tepe artifacts grouped by assigned source,229.0,0.0,,1318.0,64.0,1154.0,659.0,30391.0,219.0,,0.0,42.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-160,ppm,Kenan Tepe artifacts grouped by assigned source,224.0,0.0,,1282.0,63.0,1122.0,641.0,29779.0,217.0,,0.0,38.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-163,ppm,Kenan Tepe artifacts grouped by assigned source,244.0,0.0,,1382.0,66.0,1292.0,653.0,33053.0,242.0,,0.0,37.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-178,ppm,Kenan Tepe artifacts grouped by assigned source,221.0,0.0,,1131.0,56.0,1382.0,693.0,33608.0,191.0,,0.0,32.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-181,ppm,Kenan Tepe artifacts grouped by assigned source,221.0,0.0,,1349.0,58.0,1245.0,597.0,32314.0,215.0,,0.0,33.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-183,ppm,Kenan Tepe artifacts grouped by assigned source,212.0,0.0,,1306.0,59.0,1202.0,622.0,31603.0,203.0,,0.0,37.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-185,ppm,Kenan Tepe artifacts grouped by assigned source,222.0,0.0,,1126.0,57.0,1324.0,677.0,32305.0,192.0,,0.0,33.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-187,ppm,Kenan Tepe artifacts grouped by assigned source,222.0,0.0,,1317.0,63.0,1153.0,742.0,30339.0,212.0,,0.0,40.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-197,ppm,Kenan Tepe artifacts grouped by assigned source,250.0,0.0,,1406.0,70.0,1269.0,612.0,33607.0,249.0,,0.0,43.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-201,ppm,Kenan Tepe artifacts grouped by assigned source,244.0,1.0,,1276.0,62.0,1575.0,814.0,32466.0,222.0,,0.0,41.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-202,ppm,Kenan Tepe artifacts grouped by assigned source,250.0,0.0,,1295.0,65.0,1201.0,706.0,33373.0,226.0,,0.0,47.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-210,ppm,Kenan Tepe artifacts grouped by assigned source,233.0,0.0,,1343.0,65.0,1259.0,641.0,32463.0,238.0,,0.0,40.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-213,ppm,Kenan Tepe artifacts grouped by assigned source,217.0,0.0,,1132.0,58.0,1320.0,754.0,33973.0,188.0,,0.0,34.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-219,ppm,Kenan Tepe artifacts grouped by assigned source,232.0,0.0,,1249.0,62.0,1240.0,674.0,32032.0,218.0,,0.0,38.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-232,ppm,Kenan Tepe artifacts grouped by assigned source,207.0,0.0,,1268.0,57.0,1257.0,622.0,29984.0,186.0,,0.0,32.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-238,ppm,Kenan Tepe artifacts grouped by assigned source,235.0,0.0,,1345.0,63.0,1163.0,671.0,31372.0,214.0,,0.0,45.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-240,ppm,Kenan Tepe artifacts grouped by assigned source,254.0,0.0,,1332.0,65.0,1062.0,578.0,28817.0,211.0,,0.0,44.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-242,ppm,Kenan Tepe artifacts grouped by assigned source,228.0,0.0,,1313.0,62.0,1123.0,680.0,30398.0,211.0,,0.0,38.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-244,ppm,Kenan Tepe artifacts grouped by assigned source,235.0,0.0,,1206.0,59.0,1250.0,666.0,31695.0,198.0,,0.0,36.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-250,ppm,Kenan Tepe artifacts grouped by assigned source,241.0,0.0,,1253.0,62.0,1326.0,651.0,32903.0,209.0,,0.0,37.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-253,ppm,Kenan Tepe artifacts grouped by assigned source,223.0,0.0,,1300.0,63.0,1066.0,592.0,30010.0,213.0,,0.0,38.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-256,ppm,Kenan Tepe artifacts grouped by assigned source,232.0,0.0,,1273.0,63.0,995.0,589.0,26778.0,209.0,,0.0,42.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-257,ppm,Kenan Tepe artifacts grouped by assigned source,228.0,0.0,,1195.0,59.0,1286.0,635.0,30811.0,206.0,,0.0,37.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-262,ppm,Kenan Tepe artifacts grouped by assigned source,240.0,0.0,,1360.0,65.0,1172.0,659.0,32954.0,246.0,,0.0,38.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,kn-284,ppm,Kenan Tepe artifacts grouped by assigned source,224.0,0.0,,1300.0,61.0,1118.0,596.0,29977.0,209.0,,0.0,42.0,
