paper,year,method,method_tier,role,source_raw,source_norm,source_region,sample_id,units,notes,Rb,Sr,Y,Zr,Nb,Ti,Mn,Fe,Zn,Ga,Ba,Pb,Th
Carter et al 2017,2017,EDXRF,2,artifact_assigned,EGD-K/KD,EGD-K/KD,Central Anatolia (Cappadocia),SH.001,ppm,Shaʿar Hagolan artifacts assigned to source,197.0,20.0,26.0,91.0,18.0,778.0,395.0,7585.0,,,245.0,25.0,18.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,EGD-K/KD,EGD-K/KD,Central Anatolia (Cappadocia),SH.003,ppm,Shaʿar Hagolan artifacts assigned to source,198.0,19.0,26.0,83.0,32.0,846.0,404.0,7643.0,,,290.0,25.0,49.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,EGD-K/KD,EGD-K/KD,Central Anatolia (Cappadocia),SH.007,ppm,Shaʿar Hagolan artifacts assigned to source,200.0,18.0,23.0,82.0,27.0,966.0,425.0,8060.0,,,297.0,28.0,45.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,EGD-K/KD,EGD-K/KD,Central Anatolia (Cappadocia),SH.012,ppm,Shaʿar Hagolan artifacts assigned to source,202.0,18.0,22.0,88.0,26.0,802.0,412.0,7862.0,,,288.0,27.0,41.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,EGD-K/KD,EGD-K/KD,Central Anatolia (Cappadocia),SH.015,ppm,Shaʿar Hagolan artifacts assigned to source,203.0,17.0,25.0,84.0,29.0,854.0,394.0,7603.0,,,248.0,26.0,43.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,EGD-K/KD,EGD-K/KD,Central Anatolia (Cappadocia),SH.016,ppm,Shaʿar Hagolan artifacts assigned to source,197.0,19.0,26.0,87.0,30.0,823.0,387.0,7434.0,,,273.0,24.0,40.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,EGD-K/KD,EGD-K/KD,Central Anatolia (Cappadocia),SH.017,ppm,Shaʿar Hagolan artifacts assigned to source,187.0,17.0,24.0,93.0,19.0,743.0,362.0,7035.0,,,270.0,26.0,32.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,EGD-K/KD,EGD-K/KD,Central Anatolia (Cappadocia),SH.019,ppm,Shaʿar Hagolan artifacts assigned to source,195.0,19.0,25.0,86.0,24.0,849.0,442.0,7580.0,,,274.0,26.0,35.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,EGD-K/KD,EGD-K/KD,Central Anatolia (Cappadocia),SH.021,ppm,Shaʿar Hagolan artifacts assigned to source,191.0,17.0,26.0,83.0,22.0,815.0,408.0,7504.0,,,299.0,26.0,40.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,EGD-K/KD,EGD-K/KD,Central Anatolia (Cappadocia),SH.022,ppm,Shaʿar Hagolan artifacts assigned to source,187.0,18.0,22.0,81.0,21.0,889.0,427.0,7572.0,,,263.0,25.0,31.0
