paper,year,method,method_tier,role,source_raw,source_norm,source_region,sample_id,units,notes,Rb,Sr,Y,Zr,Nb,Ti,Mn,Fe,Zn,Ga,Ba,Pb,Th
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),OB251,ppm,Çatalhöyük artifacts assigned to source,181.0,104.0,16.0,141.0,26.0,1349.0,513.0,10725.0,47.0,16.0,,,36.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),OB252,ppm,Çatalhöyük artifacts assigned to source,179.0,109.0,12.0,137.0,15.0,1349.0,556.0,11009.0,48.0,13.0,,,28.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB253,ppm,Çatalhöyük artifacts assigned to source,220.0,31.0,20.0,77.0,22.0,1367.0,639.0,10330.0,44.0,20.0,,,22.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB254,ppm,Çatalhöyük artifacts assigned to source,184.0,20.0,19.0,77.0,36.0,1028.0,449.0,7835.0,30.0,11.0,,,26.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB255,ppm,Çatalhöyük artifacts assigned to source,204.0,17.0,27.0,78.0,23.0,1242.0,483.0,9144.0,41.0,16.0,,,33.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),OB256,ppm,Çatalhöyük artifacts assigned to source,205.0,117.0,26.0,148.0,14.0,1598.0,668.0,13711.0,71.0,23.0,,,22.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB257,ppm,Çatalhöyük artifacts assigned to source,189.0,29.0,15.0,89.0,32.0,1200.0,402.0,9603.0,36.0,14.0,,,40.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB258,ppm,Çatalhöyük artifacts assigned to source,201.0,27.0,27.0,87.0,22.0,1064.0,501.0,9118.0,31.0,22.0,,,26.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB259,ppm,Çatalhöyük artifacts assigned to source,209.0,32.0,19.0,88.0,25.0,1078.0,545.0,10163.0,43.0,19.0,,,26.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB260,ppm,Çatalhöyük artifacts assigned to source,203.0,24.0,23.0,83.0,23.0,1051.0,486.0,8850.0,31.0,19.0,,,43.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),OB261,ppm,Çatalhöyük artifacts assigned to source,172.0,107.0,18.0,131.0,25.0,1344.0,525.0,11164.0,59.0,16.0,,,25.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),OB262,ppm,Çatalhöyük artifacts assigned to source,166.0,105.0,23.0,133.0,24.0,1285.0,448.0,10310.0,48.0,14.0,,,33.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB263,ppm,Çatalhöyük artifacts assigned to source,201.0,26.0,27.0,84.0,18.0,1067.0,507.0,8729.0,28.0,15.0,,,33.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB264,ppm,Çatalhöyük artifacts assigned to source,194.0,28.0,22.0,77.0,15.0,1080.0,523.0,8514.0,31.0,15.0,,,9.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),OB265,ppm,Çatalhöyük artifacts assigned to source,188.0,114.0,27.0,140.0,18.0,1323.0,625.0,12079.0,55.0,18.0,,,38.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB266,ppm,Çatalhöyük artifacts assigned to source,208.0,25.0,17.0,74.0,28.0,1117.0,489.0,9202.0,35.0,19.0,,,43.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),OB267,ppm,Çatalhöyük artifacts assigned to source,163.0,100.0,17.0,139.0,18.0,1122.0,572.0,10503.0,50.0,17.0,,,36.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB268,ppm,Çatalhöyük artifacts assigned to source,218.0,27.0,24.0,90.0,29.0,1077.0,636.0,10028.0,43.0,21.0,,,37.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB269,ppm,Çatalhöyük artifacts assigned to source,198.0,21.0,19.0,90.0,27.0,1076.0,504.0,8790.0,31.0,19.0,,,27.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),OB270,ppm,Çatalhöyük artifacts assigned to source,198.0,114.0,17.0,155.0,23.0,1404.0,654.0,12974.0,56.0,23.0,,,23.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB271,ppm,Çatalhöyük artifacts assigned to source,245.0,21.0,27.0,91.0,29.0,1282.0,735.0,10925.0,42.0,26.0,,,24.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB272,ppm,Çatalhöyük artifacts assigned to source,193.0,25.0,22.0,81.0,20.0,1063.0,487.0,8294.0,27.0,18.0,,,31.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB273,ppm,Çatalhöyük artifacts assigned to source,199.0,17.0,23.0,73.0,26.0,1095.0,456.0,8408.0,28.0,18.0,,,23.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB274,ppm,Çatalhöyük artifacts assigned to source,233.0,28.0,24.0,92.0,24.0,1191.0,588.0,10166.0,35.0,26.0,,,28.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB275,ppm,Çatalhöyük artifacts assigned to source,191.0,25.0,27.0,78.0,12.0,1286.0,462.0,8652.0,40.0,22.0,,,30.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB276,ppm,Çatalhöyük artifacts assigned to source,192.0,27.0,24.0,89.0,20.0,1085.0,533.0,8930.0,36.0,21.0,,,30.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),OB277,ppm,Çatalhöyük artifacts assigned to source,156.0,107.0,18.0,126.0,16.0,1296.0,532.0,10620.0,52.0,18.0,,,14.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),OB278,ppm,Çatalhöyük artifacts assigned to source,185.0,120.0,16.0,140.0,9.0,1422.0,517.0,12226.0,60.0,21.0,,,35.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),OB279,ppm,Çatalhöyük artifacts assigned to source,162.0,100.0,17.0,127.0,17.0,1239.0,486.0,10570.0,46.0,16.0,,,46.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),OB280,ppm,Çatalhöyük artifacts assigned to source,173.0,106.0,14.0,134.0,20.0,1760.0,518.0,10817.0,46.0,21.0,,,39.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB281,ppm,Çatalhöyük artifacts assigned to source,199.0,27.0,22.0,92.0,20.0,1051.0,541.0,9101.0,36.0,20.0,,,14.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),OB282,ppm,Çatalhöyük artifacts assigned to source,158.0,101.0,15.0,137.0,26.0,1227.0,454.0,10121.0,39.0,18.0,,,28.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),OB283,ppm,Çatalhöyük artifacts assigned to source,169.0,115.0,24.0,139.0,19.0,1308.0,537.0,11315.0,47.0,22.0,,,30.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB284,ppm,Çatalhöyük artifacts assigned to source,203.0,25.0,13.0,79.0,35.0,1073.0,443.0,8427.0,25.0,13.0,,,26.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB285,ppm,Çatalhöyük artifacts assigned to source,215.0,20.0,25.0,75.0,28.0,1095.0,495.0,8768.0,34.0,15.0,,,34.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),OB286,ppm,Çatalhöyük artifacts assigned to source,176.0,109.0,18.0,132.0,22.0,1232.0,527.0,10839.0,49.0,19.0,,,37.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),OB287,ppm,Çatalhöyük artifacts assigned to source,167.0,99.0,19.0,140.0,20.0,1231.0,465.0,10331.0,57.0,13.0,,,24.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB288,ppm,Çatalhöyük artifacts assigned to source,226.0,22.0,16.0,85.0,29.0,1190.0,543.0,9368.0,39.0,25.0,,,39.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),OB289,ppm,Çatalhöyük artifacts assigned to source,159.0,104.0,23.0,129.0,20.0,1433.0,501.0,10160.0,55.0,19.0,,,28.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB290,ppm,Çatalhöyük artifacts assigned to source,167.0,18.0,19.0,77.0,17.0,1025.0,416.0,7334.0,29.0,13.0,,,29.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB291,ppm,Çatalhöyük artifacts assigned to source,202.0,25.0,20.0,85.0,27.0,1058.0,524.0,8624.0,29.0,19.0,,,41.0
Carter & Shackley 2007,2007,EDXRF,2,artifact_assigned,East Göllü Dag,East Göllü Dağ,Central Anatolia (Cappadocia),OB292,ppm,Çatalhöyük artifacts assigned to source,201.0,23.0,19.0,80.0,23.0,1036.0,472.0,8644.0,43.0,15.0,,,36.0
