paper,year,method,method_tier,role,source_raw,source_norm,source_region,sample_id,units,notes,Rb,Sr,Y,Zr,Nb,Ti,Mn,Fe,Zn,Ga,Ba,Pb,Th
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Göllü Dağ,Göllü Dağ,Central Anatolia (Cappadocia),EZPR 10585.1,ppm,Levant-site artifacts assigned to source,126.0,36.0,25.0,97.0,30.0,,447.0,5127.0,30.0,21.0,,,15.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Göllü Dağ,Göllü Dağ,Central Anatolia (Cappadocia),EZPR 10585.2,ppm,Levant-site artifacts assigned to source,141.0,39.0,27.0,98.0,33.0,,591.0,6027.0,43.0,26.0,,,14.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,EZPR 13451,ppm,Levant-site artifacts assigned to source,213.0,0.0,132.0,1142.0,69.0,,422.0,20532.0,159.0,22.0,,,24.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Göllü Dağ,Göllü Dağ,Central Anatolia (Cappadocia),EZPR 14426,ppm,Levant-site artifacts assigned to source,152.0,27.0,28.0,121.0,18.0,,284.0,7227.0,29.0,26.0,,,18.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Göllü Dağ,Göllü Dağ,Central Anatolia (Cappadocia),EZPR 14445,ppm,Levant-site artifacts assigned to source,202.0,13.0,24.0,93.0,23.0,,515.0,7664.0,34.0,26.0,,,20.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl B,Bingöl B,Eastern Anatolia,EZPR 14486,ppm,Levant-site artifacts assigned to source,258.0,48.0,34.0,347.0,21.0,,328.0,15971.0,41.0,30.0,,,30.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,EZPR 14759,ppm,Levant-site artifacts assigned to source,242.0,0.0,142.0,1186.0,63.0,,572.0,30870.0,198.0,26.0,,,29.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,EZPR 14948.1,ppm,Levant-site artifacts assigned to source,230.0,1.0,142.0,1170.0,62.0,,697.0,30474.0,189.0,24.0,,,31.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl B,Bingöl B,Eastern Anatolia,EZPR 14948.2,ppm,Levant-site artifacts assigned to source,253.0,50.0,34.0,332.0,20.0,,384.0,16233.0,61.0,29.0,,,30.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl B,Bingöl B,Eastern Anatolia,EZPR 14948.3,ppm,Levant-site artifacts assigned to source,220.0,44.0,32.0,300.0,17.0,,338.0,12723.0,38.0,19.0,,,29.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Göllü Dağ,Göllü Dağ,Central Anatolia (Cappadocia),EZPR 14954,ppm,Levant-site artifacts assigned to source,179.0,10.0,22.0,81.0,21.0,,442.0,5623.0,18.0,13.0,,,21.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Göllü Dağ,Göllü Dağ,Central Anatolia (Cappadocia),EZPR 14963,ppm,Levant-site artifacts assigned to source,227.0,12.0,27.0,104.0,26.0,,633.0,7750.0,31.0,30.0,,,27.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl B,Bingöl B,Eastern Anatolia,EZPR 14987,ppm,Levant-site artifacts assigned to source,268.0,49.0,35.0,345.0,21.0,,421.0,16700.0,63.0,32.0,,,35.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Göllü Dağ,Göllü Dağ,Central Anatolia (Cappadocia),EZPR 15031,ppm,Levant-site artifacts assigned to source,218.0,15.0,22.0,93.0,25.0,,577.0,7677.0,28.0,26.0,,,23.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,EZPR 15047,ppm,Levant-site artifacts assigned to source,244.0,0.0,142.0,1252.0,77.0,,472.0,24251.0,189.0,29.0,,,27.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,EZPR 17756,ppm,Levant-site artifacts assigned to source,207.0,3.0,125.0,1048.0,55.0,,577.0,26804.0,186.0,26.0,,,28.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,EZPR 17905,ppm,Levant-site artifacts assigned to source,246.0,1.0,133.0,1107.0,59.0,,631.0,31016.0,164.0,28.0,,,29.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl B,Bingöl B,Eastern Anatolia,EZPR 17912,ppm,Levant-site artifacts assigned to source,264.0,52.0,39.0,351.0,21.0,,395.0,16005.0,46.0,32.0,,,33.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl B,Bingöl B,Eastern Anatolia,EZPR 17913,ppm,Levant-site artifacts assigned to source,235.0,40.0,32.0,316.0,20.0,,366.0,13788.0,37.0,21.0,,,29.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,EZPR 20100,ppm,Levant-site artifacts assigned to source,232.0,1.0,135.0,1159.0,63.0,,576.0,30059.0,189.0,25.0,,,29.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl B,Bingöl B,Eastern Anatolia,EZPR 20206,ppm,Levant-site artifacts assigned to source,234.0,42.0,33.0,308.0,17.0,,325.0,13567.0,39.0,22.0,,,28.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,EZPR 30748.1,ppm,Levant-site artifacts assigned to source,313.0,0.0,162.0,1364.0,76.0,,396.0,28461.0,231.0,33.0,,,38.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl B,Bingöl B,Eastern Anatolia,EZPR 30748.2,ppm,Levant-site artifacts assigned to source,241.0,46.0,33.0,326.0,19.0,,370.0,14548.0,36.0,26.0,,,28.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl B,Bingöl B,Eastern Anatolia,EZPR 30823,ppm,Levant-site artifacts assigned to source,230.0,45.0,33.0,313.0,19.0,,307.0,13915.0,48.0,22.0,,,25.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Göllü Dağ,Göllü Dağ,Central Anatolia (Cappadocia),EZPR 31263,ppm,Levant-site artifacts assigned to source,220.0,13.0,24.0,91.0,25.0,,516.0,7233.0,29.0,27.0,,,24.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl B,Bingöl B,Eastern Anatolia,EZPR 31313,ppm,Levant-site artifacts assigned to source,238.0,46.0,34.0,326.0,20.0,,296.0,14853.0,44.0,28.0,,,28.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl B,Bingöl B,Eastern Anatolia,EZPR 50091,ppm,Levant-site artifacts assigned to source,229.0,47.0,32.0,308.0,18.0,,311.0,13614.0,40.0,21.0,,,25.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Göllü Dağ,Göllü Dağ,Central Anatolia (Cappadocia),EZPR 50279,ppm,Levant-site artifacts assigned to source,184.0,12.0,24.0,84.0,23.0,,508.0,7676.0,28.0,22.0,,,19.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,EZPR 50418,ppm,Levant-site artifacts assigned to source,218.0,0.0,130.0,1175.0,71.0,,461.0,20749.0,167.0,24.0,,,28.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl B,Bingöl B,Eastern Anatolia,EZPR 55085,ppm,Levant-site artifacts assigned to source,219.0,39.0,31.0,301.0,16.0,,276.0,12381.0,36.0,23.0,,,26.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl B,Bingöl B,Eastern Anatolia,EZPR 60201,ppm,Levant-site artifacts assigned to source,270.0,52.0,34.0,343.0,22.0,,324.0,16623.0,52.0,32.0,,,27.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Göllü Dağ,Göllü Dağ,Central Anatolia (Cappadocia),EZPR 60232,ppm,Levant-site artifacts assigned to source,225.0,11.0,24.0,95.0,28.0,,596.0,7535.0,32.0,26.0,,,26.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl B,Bingöl B,Eastern Anatolia,EZPR 60243,ppm,Levant-site artifacts assigned to source,244.0,47.0,36.0,329.0,20.0,,346.0,15872.0,48.0,29.0,,,28.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,EZPR 60346,ppm,Levant-site artifacts assigned to source,317.0,0.0,163.0,1398.0,79.0,,516.0,28731.0,244.0,35.0,,,40.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Göllü Dağ,Göllü Dağ,Central Anatolia (Cappadocia),EZPR 60353,ppm,Levant-site artifacts assigned to source,180.0,12.0,20.0,87.0,21.0,,483.0,6053.0,21.0,18.0,,,23.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,EZPR 77046,ppm,Levant-site artifacts assigned to source,228.0,0.0,130.0,1173.0,60.0,,561.0,32363.0,194.0,29.0,,,26.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,EZPR 77050,ppm,Levant-site artifacts assigned to source,318.0,2.0,180.0,1456.0,75.0,,840.0,43192.0,307.0,42.0,,,43.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,EZPR 77065,ppm,Levant-site artifacts assigned to source,224.0,2.0,137.0,1199.0,60.0,,642.0,31931.0,176.0,28.0,,,33.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl B,Bingöl B,Eastern Anatolia,EZPR 77071.1,ppm,Levant-site artifacts assigned to source,270.0,51.0,35.0,352.0,23.0,,364.0,17371.0,59.0,31.0,,,31.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl B,Bingöl B,Eastern Anatolia,EZPR 77071.2,ppm,Levant-site artifacts assigned to source,309.0,56.0,40.0,376.0,24.0,,443.0,20062.0,71.0,36.0,,,36.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl B,Bingöl B,Eastern Anatolia,EZPR 90045,ppm,Levant-site artifacts assigned to source,303.0,58.0,35.0,362.0,23.0,,439.0,20337.0,72.0,36.0,,,35.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,EZPR 90052,ppm,Levant-site artifacts assigned to source,225.0,0.0,131.0,1179.0,73.0,,451.0,21235.0,152.0,25.0,,,28.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,EZPR 90121,ppm,Levant-site artifacts assigned to source,266.0,1.0,152.0,1366.0,82.0,,519.0,25929.0,209.0,35.0,,,32.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Göllü Dağ,Göllü Dağ,Central Anatolia (Cappadocia),EZPR 90211,ppm,Levant-site artifacts assigned to source,150.0,26.0,27.0,126.0,16.0,,335.0,7449.0,43.0,29.0,,,17.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Göllü Dağ,Göllü Dağ,Central Anatolia (Cappadocia),EZPR 10585.1,ppm,Levant-site artifacts assigned to source,126.0,36.0,25.0,97.0,30.0,,447.0,5127.0,30.0,21.0,,,15.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Göllü Dağ,Göllü Dağ,Central Anatolia (Cappadocia),EZPR 10585.2,ppm,Levant-site artifacts assigned to source,141.0,39.0,27.0,98.0,33.0,,591.0,6027.0,43.0,26.0,,,14.0
Schechter et al 2016,2016,pXRF,1,artifact_assigned,Göllü Dağ,Göllü Dağ,Central Anatolia (Cappadocia),EZPR 14426,ppm,Levant-site artifacts assigned to source,152.0,27.0,28.0,121.0,18.0,,284.0,7227.0,29.0,26.0,,,18.0
