object_id,site,locus,basket,n_readings,sides,ungroupable,Rb_ppm,Zr_ppm,Nb_ppm,Fe_ppm,Ti_ppm,Mn_ppm,Rb_Zr,Rb_Nb,Zr_Nb,worst_disagreement_fold,agree_score,cover_score,dirt_score,bal_score,n_score,notes,quality,quality_band
einan | 5076 | 50155,einan,5076,50155,3,(not recorded),False,90.0,70.0,20.0,7550.0,450.0,230.0,1.3333333333333333,4.0,3.0,1.25,1.0,0.6333333333333334,0.5,0.8666666666666667,1.0,,0.8133333333333332,high
einan | F99b | 9485,einan,F99b,9485,3,dorsal+ventral,False,90.0,70.0,20.0,11130.0,1739.9999999999998,145.0,1.2857142857142856,4.5,3.5,1.1666666666666667,1.0,0.5,0.3666666666666667,0.8666666666666667,1.0,,0.76,high
einan | G98b | 5287,einan,G98b,5287,2,dorsal+ventral,False,95.0,75.0,30.0,10780.0,1285.0,215.0,1.2678571428571428,3.1666666666666665,2.5,1.1428571428571428,1.0,0.6,0.5,1.0,1.0,,0.825,high
einan | H91 | 5356,einan,H91,5356,2,dorsal+ventral,False,90.0,65.0,20.0,10200.0,1295.0,140.0,1.3928571428571428,4.5,3.25,1.1666666666666667,1.0,0.5,0.5,0.8,1.0,,0.7699999999999999,high
einan | H92c | 6219,einan,H92c,6219,6,dorsal+ventral,False,100.0,70.0,20.0,10745.0,1395.0,180.0,1.4285714285714286,4.75,3.5,1.1111111111111112,1.0,0.5,0.5,0.9333333333333332,1.0,,0.7899999999999999,high
einan | H92c | 6662,einan,H92c,6662,2,dorsal+ventral,False,110.0,75.0,30.0,12130.0,1240.0,345.0,1.4642857142857144,3.666666666666667,2.5,1.2,1.0,0.3,0.5,0.9,1.0,,0.735,medium
einan | H93b | 6190,einan,H93b,6190,1,(not recorded),False,80.0,60.0,20.0,8360.0,930.0,130.0,1.3333333333333333,4.0,3.0,1.0,0.5,0.5,0.5,0.8,0.5,,0.545,low
einan | H95d | 7989,einan,H95d,7989,2,dorsal+ventral,False,95.0,70.0,25.0,13595.0,1955.0,185.0,1.3571428571428572,3.916666666666667,2.916666666666667,1.1111111111111112,1.0,0.5,0.5,1.0,1.0,,0.7999999999999999,high
einan | I92a | 6036,einan,I92a,6036,3,dorsal+ventral,False,110.0,70.0,30.0,12100.0,1150.0,320.0,1.5,3.6666666666666665,2.3333333333333335,1.2,1.0,0.5333333333333333,0.5,0.9333333333333332,1.0,,0.7983333333333332,high
einan | I92b | 6017,einan,I92b,6017,1,(not recorded),False,90.0,70.0,20.0,11860.0,1550.0,230.0,1.2857142857142856,4.5,3.5,1.0,0.5,0.5,0.5,1.0,0.5,,0.5750000000000001,medium
einan | I92b | 6208,einan,I92b,6208,2,dorsal+ventral,False,120.0,85.0,30.0,13150.0,1280.0,460.0,1.4166666666666667,4.0,2.833333333333333,1.125,1.0,0.5,0.5,0.8,1.0,,0.7699999999999999,high
einan | I92b | 6698,einan,I92b,6698,2,dorsal+ventral,False,80.0,60.0,20.0,8240.0,935.0,175.0,1.3333333333333333,4.0,3.0,1.0,1.0,0.5,0.5,0.4,1.0,,0.7099999999999999,medium
einan | I93c | 6014,einan,I93c,6014,1,(not recorded),False,100.0,90.0,30.0,14300.0,1980.0,320.0,1.1111111111111112,3.3333333333333335,2.9999999999999996,1.0,0.5,0.5,0.5,1.0,0.5,,0.5750000000000001,medium
einan | I93d | 6034,einan,I93d,6034,6,(not recorded),False,100.0,65.0,30.0,11135.0,1170.0,360.0,1.5357142857142856,3.6666666666666665,2.3333333333333335,1.2222222222222223,1.0,0.3,0.5,1.0,1.0,,0.75,high
einan | I93d | 6037,einan,I93d,6037,1,(not recorded),False,100.0,70.0,30.0,12340.0,1290.0,420.0,1.4285714285714286,3.3333333333333335,2.3333333333333335,1.0,0.5,0.3,0.5,1.0,0.5,,0.525,low
einan | I97c | 5310,einan,I97c,5310,2,dorsal+ventral,False,100.0,80.0,30.0,14880.0,2290.0,255.0,1.25,3.3333333333333335,2.6666666666666665,1.0,1.0,0.6,0.5,1.0,1.0,,0.825,high
einan | J93a | 6068,einan,J93a,6068,2,dorsal+ventral,False,90.0,60.0,20.0,9585.0,1270.0,185.0,1.4999999999999998,4.5,3.0,1.0,1.0,0.5,0.5,0.8,1.0,,0.7699999999999999,high
einan | J94b | 6148,einan,J94b,6148,5,dorsal+ventral,False,100.0,70.0,30.0,9350.0,1050.0,200.0,1.4285714285714286,3.3333333333333335,2.3333333333333335,1.1428571428571428,1.0,0.5,0.5,0.76,1.0,,0.7639999999999999,high
einan | J94c | 6244,einan,J94c,6244,2,dorsal+ventral,False,75.0,65.0,20.0,8840.0,1205.0,170.0,1.1547619047619047,3.75,3.25,1.1666666666666667,1.0,0.6,0.3,0.9,1.0,,0.78,high
einan | J95b | 7364,einan,J95b,7364,1,(not recorded),False,120.0,80.0,30.0,20720.0,3130.0,530.0,1.5,4.0,2.6666666666666665,1.0,0.5,0.3,0.5,0.4,0.5,,0.435,low
einan | J98c | 7565,einan,J98c,7565,2,dorsal+ventral,False,105.0,90.0,30.0,15655.0,2100.0,445.0,1.1666666666666667,3.5,2.9999999999999996,1.1,1.0,0.3,0.5,1.0,1.0,,0.75,high
einan | K93b | 5561,einan,K93b,5561,1,(not recorded),False,100.0,70.0,30.0,13859.999999999998,2120.0,340.0,1.4285714285714286,3.3333333333333335,2.3333333333333335,1.0,0.5,0.5,0.5,1.0,0.5,,0.5750000000000001,medium
einan | K95b | 7675,einan,K95b,7675,2,dorsal+ventral,False,120.0,90.0,35.0,13945.0,1380.0,515.0,1.3333333333333335,3.5,2.625,1.0,1.0,0.3,0.5,0.4,1.0,,0.66,medium
einan | K98a | 7345,einan,K98a,7345,1,(not recorded),False,100.0,70.0,20.0,12549.999999999998,1660.0,170.0,1.4285714285714286,5.0,3.5,1.0,0.5,0.5,0.5,0.8,0.5,,0.545,low
einan | K99a | 6806,einan,K99a,6806,3,dorsal+ventral,False,100.0,70.0,30.0,10550.0,1330.0,160.0,1.4285714285714286,3.3333333333333335,2.6666666666666665,1.1428571428571428,1.0,0.5,0.5,0.9333333333333332,1.0,,0.7899999999999999,high
