reading,ts,site,side,Locus\Square,Basket,duration,cover,Dirt,author_flag,kept,drop_reason,Rb,Zr,Nb,Fe,Ti,Mn,Bal,_src_file,_xlrow
147,2017-04-05 10:53:00,einan,ventral,I92a,6036,120.58,partial,,,True,,0.012,0.008,0.003,1.21,0.109,,57.015,obsidian_pxrf_master_2017-2018.xlsx,2
148,2017-04-05 11:00:00,einan,ventral,R99,6016,122.38,partial,,,True,,0.01,0.007,0.003,0.932,0.089,,60.455,obsidian_pxrf_master_2017-2018.xlsx,3
149,2017-04-05 11:04:00,einan,dorsal,R99,6017,122.37,partial,,,True,,0.01,0.007,0.003,0.987,0.098,0.024,58.527,obsidian_pxrf_master_2017-2018.xlsx,4
150,2017-04-05 11:08:00,einan,ventral,P98,5922,121.4,,dirty,,True,,0.009,0.007,0.002,1.242,0.202,0.022,70.109,obsidian_pxrf_master_2017-2018.xlsx,5
151,2017-04-05 11:13:00,einan,dorsal,P98,5922,120.54,,dirty,,True,,0.009,0.007,0.002,0.892,0.101,0.021,68.641,obsidian_pxrf_master_2017-2018.xlsx,6
152,2017-04-05 11:17:00,einan,ventral,O96,5927,120.76,,,,True,,0.009,0.007,0.002,1.403,0.213,0.024,64.254,obsidian_pxrf_master_2017-2018.xlsx,7
153,2017-04-05 11:25:00,einan,dorsal,O96,5927,122.28,,,,True,,0.01,0.007,0.003,1.48,0.203,0.043,63.21,obsidian_pxrf_master_2017-2018.xlsx,8
154,2017-04-05 11:43:00,einan,ventral,N96,5948,120.98,,,,True,,0.008,0.007,0.002,1.086,0.17,0.014,72.049,obsidian_pxrf_master_2017-2018.xlsx,9
155,2017-04-05 11:46:00,einan,dorsal,N96,5948,121.28,,,,True,,0.008,0.006,0.002,0.956,0.135,0.018,72.229,obsidian_pxrf_master_2017-2018.xlsx,10
156,2017-04-05 11:50:00,einan,ventral,O98,5929,123.13,partial,,,True,,0.01,0.008,0.003,1.296,0.142,0.041,52.327,obsidian_pxrf_master_2017-2018.xlsx,11
157,2017-04-05 12:07:00,einan,dorsal,O98,5929,121.26,partial,,,True,,0.012,0.009,0.003,1.423,0.153,0.046,50.164,obsidian_pxrf_master_2017-2018.xlsx,12
158,2017-04-05 12:14:00,einan,ventral,R98,5945,120.82,,,,True,,0.009,0.007,0.002,0.768,0.086,0.012,69.721,obsidian_pxrf_master_2017-2018.xlsx,13
159,2017-04-05 12:18:00,einan,dorsal,R98,5945,120.08,,,,True,,0.008,0.006,0.002,0.758,0.09,,72.874,obsidian_pxrf_master_2017-2018.xlsx,14
160,2017-04-05 12:22:00,einan,ventral,P96,5870,121.12,,,,True,,0.011,0.008,0.003,1.317,0.156,0.038,63.439,obsidian_pxrf_master_2017-2018.xlsx,15
161,2017-04-05 12:26:00,einan,dorsal,P96,5870,120.71,,,,True,,0.01,0.007,0.003,1.241,0.183,0.028,63.951,obsidian_pxrf_master_2017-2018.xlsx,16
162,2017-04-05 12:30:00,einan,ventral,P97c,5645,121.56,partial,,,True,,0.01,0.008,0.003,1.09,0.118,0.036,59.095,obsidian_pxrf_master_2017-2018.xlsx,17
163,2017-04-05 12:33:00,einan,dorsal,P97c,5645,122.01,partial,,,True,,0.01,0.007,0.003,1.145,0.149,0.024,62.623,obsidian_pxrf_master_2017-2018.xlsx,18
164,2017-04-05 12:37:00,einan,ventral,P98,5598,120.77,,,,True,,0.008,0.006,0.002,0.8,0.096,0.014,70.25,obsidian_pxrf_master_2017-2018.xlsx,19
165,2017-04-05 12:44:00,einan,dorsal,P98,5598,121.44,,,,True,,0.008,0.006,0.002,0.866,0.11,0.016,71.315,obsidian_pxrf_master_2017-2018.xlsx,20
166,2017-04-05 12:49:00,einan,ventral,I97c,5310,120.89,partial,,,True,,0.01,0.008,0.003,1.477,0.232,0.025,62.929,obsidian_pxrf_master_2017-2018.xlsx,21
167,2017-04-05 12:57:00,einan,dorsal,I97c,5310,121.53,partial,,,True,,0.01,0.008,0.003,1.499,0.226,0.026,64.634,obsidian_pxrf_master_2017-2018.xlsx,22
168,2017-04-05 13:01:00,einan,ventral,G98b,5287,121.04,partial,,,True,,0.01,0.008,0.003,1.149,0.143,0.026,60.808,obsidian_pxrf_master_2017-2018.xlsx,23
169,2017-04-05 13:04:00,einan,dorsal,G98b,5287,120.29,partial,,,True,,0.009,0.007,0.003,1.007,0.114,0.017,61.348,obsidian_pxrf_master_2017-2018.xlsx,24
170,2017-04-05 13:11:00,einan,ventral,R97b,5251,120.8,,,,True,,0.008,0.006,0.002,1.167,0.188,0.012,72.125,obsidian_pxrf_master_2017-2018.xlsx,25
171,2017-04-05 13:15:00,einan,dorsal,R97b,5251,121.98,,,,True,,0.008,0.006,0.002,1.084,0.161,0.013,72.405,obsidian_pxrf_master_2017-2018.xlsx,26
172,2017-04-05 13:22:00,einan,ventral,Q98,6105A,122.43,partial,,,True,,0.009,0.006,0.002,1.0,0.085,0.023,56.91,obsidian_pxrf_master_2017-2018.xlsx,27
173,2017-04-05 13:25:00,einan,dorsal,Q98,6105A,122.32,partial,,,True,,0.011,0.008,0.003,1.407,0.169,0.043,51.556,obsidian_pxrf_master_2017-2018.xlsx,28
174,2017-04-05 13:31:00,einan,ventral,Q98,6105B,122.58,very partial,,,True,,0.012,0.009,0.003,1.502,0.137,0.066,44.149,obsidian_pxrf_master_2017-2018.xlsx,29
175,2017-04-05 13:34:00,einan,dorsal,Q98,6105B,120.39,very partial,,,True,,0.012,0.009,0.004,1.497,0.14,0.067,42.115,obsidian_pxrf_master_2017-2018.xlsx,30
176,2017-04-05 13:39:00,einan,ventral,R96,6164,120.45,very partial,,,True,,0.013,0.012,0.004,1.97,0.191,0.096,34.327,obsidian_pxrf_master_2017-2018.xlsx,31
177,2017-04-05 13:45:00,einan,dorsal,R96,6164,120.41,very partial,,,True,,0.013,0.012,0.003,2.049,0.214,0.108,33.736,obsidian_pxrf_master_2017-2018.xlsx,32
178,2017-04-05 13:49:00,einan,ventral,Q98,6187,120.61,,,,True,,0.009,0.007,0.002,0.886,0.104,0.014,65.784,obsidian_pxrf_master_2017-2018.xlsx,33
179,2017-04-05 13:53:00,einan,dorsal,Q98,6187,120.21,,,,True,,0.009,0.007,0.002,0.801,0.085,0.017,65.274,obsidian_pxrf_master_2017-2018.xlsx,34
180,2017-04-05 13:57:00,einan,ventral,T97,6202,120.15,partial,,,True,,0.011,0.008,0.003,1.199,0.095,0.053,50.172,obsidian_pxrf_master_2017-2018.xlsx,35
181,2017-04-05 14:01:00,einan,dorsal,T97,6202,122.14,partial,,,True,,0.011,0.008,0.003,1.228,0.113,0.032,52.628,obsidian_pxrf_master_2017-2018.xlsx,36
182,2017-04-05 14:16:00,einan,ventral,J94c,6244,120.17,partial,dirty,,True,,0.007,0.006,0.002,0.968,0.161,,67.664,obsidian_pxrf_master_2017-2018.xlsx,37
183,2017-04-05 14:20:00,einan,dorsal,J94c,6244,120.17,partial,dirty,,True,,0.008,0.007,0.002,0.8,0.08,0.017,64.976,obsidian_pxrf_master_2017-2018.xlsx,38
184,2017-04-05 14:25:00,einan,ventral,I92b,6208,121.32,,,,True,,0.012,0.009,0.003,1.282,0.112,0.05,51.094,obsidian_pxrf_master_2017-2018.xlsx,39
185,2017-04-05 14:28:00,einan,dorsal,I92b,6208,120.35,,,,True,,0.012,0.008,0.003,1.348,0.144,0.042,52.069,obsidian_pxrf_master_2017-2018.xlsx,40
186,2017-04-05 14:33:00,einan,ventral,S98,6185,121.49,partial,,,True,,0.011,0.009,0.003,1.737,0.237,0.053,53.108,obsidian_pxrf_master_2017-2018.xlsx,41
187,2017-04-05 14:37:00,einan,dorsal,S98,6185,122.38,partial,,,True,,0.011,0.008,0.003,1.857,0.29,0.062,54.365,obsidian_pxrf_master_2017-2018.xlsx,42
188,2017-04-05 15:00:00,einan,ventral,S95,6431,120.02,partial,,,True,,0.009,0.007,0.002,1.196,0.177,0.022,69.278,obsidian_pxrf_master_2017-2018.xlsx,43
189,2017-04-05 15:03:00,einan,dorsal,S95,6431,120.06,partial,,,True,,0.008,0.007,0.002,1.409,0.218,0.026,71.102,obsidian_pxrf_master_2017-2018.xlsx,44
190,2017-04-05 15:07:00,einan,ventral,Q94,6522,120.55,partial,,,True,,0.009,0.007,0.002,1.133,0.139,0.031,65.559,obsidian_pxrf_master_2017-2018.xlsx,45
191,2017-04-05 15:11:00,einan,dorsal,Q94,6522,120.69,partial,,,True,,0.009,0.007,0.002,0.971,0.11,0.015,65.771,obsidian_pxrf_master_2017-2018.xlsx,46
192,2017-04-05 15:15:00,einan,ventral,Q94,6627,121.46,partial,,,True,,0.008,0.006,0.002,0.94,0.117,,70.098,obsidian_pxrf_master_2017-2018.xlsx,47
193,2017-04-05 15:19:00,einan,ventral,Q94,6627,122.43,partial,,,True,,0.009,0.007,0.002,1.104,0.138,0.019,66.98,obsidian_pxrf_master_2017-2018.xlsx,48
194,2017-04-05 15:23:00,einan,ventral,H92c,6662,122.37,very partial,,,True,,0.01,0.007,0.003,1.157,0.129,0.023,57.435,obsidian_pxrf_master_2017-2018.xlsx,49
195,2017-04-05 15:27:00,einan,dorsal,H92c,6662,122.58,very partial,,,True,,0.012,0.008,0.003,1.269,0.119,0.046,52.982,obsidian_pxrf_master_2017-2018.xlsx,50
196,2017-04-05 15:30:00,einan,ventral,K99a,6806,121.82,,,,True,,0.01,0.008,0.003,1.114,0.144,0.015,64.262,obsidian_pxrf_master_2017-2018.xlsx,51
197,2017-04-05 15:34:00,einan,dorsal,K99a,6806,121.59,,,,True,,0.01,0.007,0.002,1.037,0.129,0.017,61.596,obsidian_pxrf_master_2017-2018.xlsx,52
198,2017-04-05 15:38:00,einan,ventral,I92b,6698,120.63,,,,True,,0.008,0.006,0.002,0.847,0.093,0.023,70.278,obsidian_pxrf_master_2017-2018.xlsx,53
199,2017-04-05 15:41:00,einan,dorsal,I92b,6698,120.0,,,,True,,0.008,0.006,0.002,0.801,0.094,0.012,71.951,obsidian_pxrf_master_2017-2018.xlsx,54
200,2017-04-05 15:45:00,einan,ventral,S100,6044,120.93,very partial,,,True,,0.01,0.007,0.003,1.21,0.148,0.024,60.88,obsidian_pxrf_master_2017-2018.xlsx,55
201,2017-04-05 15:48:00,einan,dorsal,S100,6044,122.61,very partial,,,True,,0.009,0.007,0.002,1.03,0.121,0.024,64.049,obsidian_pxrf_master_2017-2018.xlsx,56
202,2017-04-05 15:52:00,einan,ventral,Q94,6522,122.4,very partial,,,False,Rb/Zr/Nb not measured (< LOD or blank),0.005,0.006,,0.88,0.113,,67.138,obsidian_pxrf_master_2017-2018.xlsx,57
203,2017-04-06 09:37:00,einan,ventral,K99a,6806,122.63,,,,True,,0.01,0.007,0.003,1.055,0.133,,66.846,obsidian_pxrf_master_2017-2018.xlsx,58
204,2017-04-06 09:42:00,einan,ventral,S94b,6444A,121.16,,,,True,,0.009,0.007,0.002,0.975,0.127,0.011,69.817,obsidian_pxrf_master_2017-2018.xlsx,59
205,2017-04-06 09:45:00,einan,dorsal,S94b,6444A,120.74,,,,True,,0.008,0.007,0.002,1.058,0.073,,86.365,obsidian_pxrf_master_2017-2018.xlsx,60
206,2017-04-06 10:03:00,einan,dorsal,S94b,6444A,120.83,,,,True,,0.008,0.007,0.002,1.05,0.08,,85.178,obsidian_pxrf_master_2017-2018.xlsx,61
207,2017-04-06 10:06:00,einan,ventral,S94b,6444B,121.22,partial,,,True,,0.01,0.007,0.003,1.457,0.204,0.031,67.934,obsidian_pxrf_master_2017-2018.xlsx,62
208,2017-04-06 10:10:00,einan,dorsal,S94b,6444B,121.65,partial,,,True,,0.009,0.007,0.003,1.505,0.108,,82.768,obsidian_pxrf_master_2017-2018.xlsx,63
209,2017-04-06 10:15:00,einan,ventral,S97,6200,122.16,partial,dirty,,True,,0.009,0.007,0.003,1.05,0.05,,84.753,obsidian_pxrf_master_2017-2018.xlsx,64
210,2017-04-06 10:21:00,einan,dorsal,S97,6200,121.53,partial,dirty,,True,,0.009,0.007,0.002,1.122,0.139,,68.856,obsidian_pxrf_master_2017-2018.xlsx,65
211,2017-04-06 10:28:00,einan,ventral,o98,5974,120.55,,,,True,,0.009,0.007,0.003,1.114,0.071,,82.716,obsidian_pxrf_master_2017-2018.xlsx,66
212,2017-04-06 10:31:00,einan,dorsal,o98,5974,120.64,,,,True,,0.008,0.006,0.002,0.938,0.124,,72.772,obsidian_pxrf_master_2017-2018.xlsx,67
213,2017-04-06 10:35:00,einan,ventral,J94b,6148,121.68,,,,True,,0.009,0.007,0.003,0.918,0.049,,81.631,obsidian_pxrf_master_2017-2018.xlsx,68
214,2017-04-06 10:39:00,einan,ventral,J94b,6148,121.3,,,,True,,0.01,0.007,0.003,0.932,0.105,0.021,65.395,obsidian_pxrf_master_2017-2018.xlsx,69
215,2017-04-06 10:44:00,einan,dorsal,J94b,6148,121.54,,,,True,,0.01,0.007,0.002,0.975,0.105,0.013,65.905,obsidian_pxrf_master_2017-2018.xlsx,70
216,2017-04-06 10:50:00,einan,ventral,M92c,6751,122.08,very partial,,,True,,0.01,0.009,0.003,1.157,0.109,0.053,53.047,obsidian_pxrf_master_2017-2018.xlsx,71
217,2017-04-06 10:54:00,einan,ventral,R96b,7346,120.91,very partial,,,True,,0.01,0.008,0.003,1.141,0.125,,53.262,obsidian_pxrf_master_2017-2018.xlsx,72
218,2017-04-06 10:58:00,einan,ventral,R96b,7346,120.5,,,,True,,0.01,0.009,0.003,1.134,0.113,0.031,51.675,obsidian_pxrf_master_2017-2018.xlsx,73
219,2017-04-06 11:02:00,einan,ventral,S96b,7092,120.88,partial,,,True,,0.009,0.007,0.002,0.75,0.059,,63.298,obsidian_pxrf_master_2017-2018.xlsx,74
220,2017-04-06 11:06:00,einan,dorsal,S96b,7092,120.04,partial,,,True,,0.007,0.005,0.002,0.802,0.094,,74.449,obsidian_pxrf_master_2017-2018.xlsx,75
221,2017-04-06 11:10:00,einan,dorsal,S96b,7092,121.6,partial,,,True,,0.009,0.007,0.002,0.978,0.106,0.019,69.328,obsidian_pxrf_master_2017-2018.xlsx,76
222,2017-04-06 11:14:00,einan,ventral,S96b,7092,120.16,partial,,,True,,0.009,0.007,0.002,0.706,0.054,0.018,63.853,obsidian_pxrf_master_2017-2018.xlsx,77
223,2017-04-06 11:18:00,einan,ventral,J93a,6068,121.08,,,,True,,0.009,0.006,0.002,1.023,0.142,0.019,68.59,obsidian_pxrf_master_2017-2018.xlsx,78
224,2017-04-06 11:22:00,einan,dorsal,J93a,6068,120.27,,,,True,,0.009,0.006,0.002,0.894,0.112,0.018,67.882,obsidian_pxrf_master_2017-2018.xlsx,79
225,2017-04-06 11:27:00,einan,ventral,O94,6379A,120.3,,,,True,,0.009,0.007,0.002,1.099,0.164,0.021,70.223,obsidian_pxrf_master_2017-2018.xlsx,80
226,2017-04-06 11:31:00,einan,dorsal,O94,6379A,122.35,,,,True,,0.009,0.007,0.002,1.247,0.193,0.017,69.938,obsidian_pxrf_master_2017-2018.xlsx,81
227,2017-04-06 12:14:00,einan,ventral,O94,6379B,120.62,partial,,,True,,0.01,0.007,0.003,1.303,0.176,0.034,62.785,obsidian_pxrf_master_2017-2018.xlsx,82
228,2017-04-06 12:17:00,einan,dorsal,O94,6379B,122.47,partial,,,True,,0.01,0.007,0.003,1.018,0.108,0.021,63.416,obsidian_pxrf_master_2017-2018.xlsx,83
229,2017-04-06 12:22:00,einan,ventral,Q98,6003,120.2,partial,,,True,,0.011,0.008,0.003,1.403,0.156,0.061,53.806,obsidian_pxrf_master_2017-2018.xlsx,84
230,2017-04-06 12:25:00,einan,dorsal,Q98,6003,120.95,partial,,,True,,0.012,0.009,0.003,1.412,0.151,0.042,54.673,obsidian_pxrf_master_2017-2018.xlsx,85
231,2017-04-06 12:29:00,einan,ventral,R17b,6233,121.71,,,,True,,0.008,0.007,0.002,0.659,0.051,0.01,67.649,obsidian_pxrf_master_2017-2018.xlsx,86
232,2017-04-06 12:33:00,einan,dorsal,R17b,6233,122.07,,,,True,,0.008,0.006,0.002,0.663,0.066,0.011,69.725,obsidian_pxrf_master_2017-2018.xlsx,87
233,2017-04-06 12:40:00,einan,ventral,M91a,6722,120.14,partial,,,True,,0.009,0.007,0.002,0.934,0.1,0.016,67.52,obsidian_pxrf_master_2017-2018.xlsx,88
234,2017-04-06 12:44:00,einan,dorsal,M91a,6722,120.13,partial,,,True,,0.008,0.007,0.002,0.923,0.114,,69.479,obsidian_pxrf_master_2017-2018.xlsx,89
235,2017-04-06 12:47:00,einan,ventral,M94b,8025,121.39,partial,,,True,,0.01,0.008,0.003,1.424,0.222,0.028,65.502,obsidian_pxrf_master_2017-2018.xlsx,90
236,2017-04-06 12:51:00,einan,dorsal,M94b,8025,120.5,partial,,,True,,0.009,0.007,0.002,1.382,0.208,0.015,68.57,obsidian_pxrf_master_2017-2018.xlsx,91
237,2017-04-06 12:55:00,einan,ventral,J98c,7565,120.75,very partial,,,True,,0.011,0.009,0.003,1.55,0.206,0.045,59.134,obsidian_pxrf_master_2017-2018.xlsx,92
238,2017-04-06 12:58:00,einan,dorsal,J98c,7565,121.84,very partial,,,True,,0.01,0.009,0.003,1.581,0.214,0.044,59.649,obsidian_pxrf_master_2017-2018.xlsx,93
239,2017-04-06 13:02:00,einan,ventral,K95b,7675,122.31,very partial,,,True,,0.012,0.009,0.004,1.366,0.124,0.058,47.893,obsidian_pxrf_master_2017-2018.xlsx,94
240,2017-04-06 13:24:00,einan,dorsal,K95b,7675,122.53,very partial,,,True,,0.012,0.009,0.003,1.423,0.152,0.045,48.402,obsidian_pxrf_master_2017-2018.xlsx,95
241,2017-04-06 13:34:00,einan,ventral,S94b,6444A,120.66,,,,True,,0.009,0.007,0.002,0.956,0.132,,68.917,obsidian_pxrf_master_2017-2018.xlsx,96
242,2017-04-06 13:38:00,einan,dorsal,S94b,6444A,120.1,,,,True,,0.008,0.008,0.002,1.111,0.177,0.015,71.187,obsidian_pxrf_master_2017-2018.xlsx,97
243,2017-04-06 13:43:00,einan,ventral,S94b,6444B,120.52,,,,True,,0.01,0.008,0.003,1.619,0.244,0.034,66.017,obsidian_pxrf_master_2017-2018.xlsx,98
244,2017-04-06 13:47:00,einan,dorsal,S94b,6444B,121.86,,,,True,,0.01,0.007,0.003,1.551,0.245,0.02,66.369,obsidian_pxrf_master_2017-2018.xlsx,99
245,2017-04-06 13:52:00,einan,ventral,S97,6200,122.41,,,,True,,0.009,0.007,0.002,1.13,0.132,0.014,67.447,obsidian_pxrf_master_2017-2018.xlsx,100
246,2017-04-06 13:56:00,einan,dorsal,S97,6200,121.0,,,,True,,0.009,0.007,0.002,1.203,0.151,0.025,67.422,obsidian_pxrf_master_2017-2018.xlsx,101
247,2017-04-06 14:01:00,einan,ventral,O98,5974,120.05,,,,True,,0.009,0.007,0.002,1.092,0.153,0.016,68.689,obsidian_pxrf_master_2017-2018.xlsx,102
248,2017-04-06 14:04:00,einan,dorsal,O98,5974,121.63,,,,True,,0.009,0.007,0.002,1.042,0.138,,68.999,obsidian_pxrf_master_2017-2018.xlsx,103
249,2017-04-06 14:09:00,einan,ventral,J94b,6148,120.23,,,,True,,0.01,0.008,0.002,0.935,0.109,0.022,65.206,obsidian_pxrf_master_2017-2018.xlsx,104
250,2017-04-06 14:12:00,einan,dorsal,J94b,6148,120.2,,,,True,,0.01,0.007,0.003,1.006,0.108,0.019,63.92,obsidian_pxrf_master_2017-2018.xlsx,105
483,2017-07-27 12:40:00,motza,ventral,4037,40760,121.47,full,,,True,,0.008,0.006,0.002,0.563,0.035,,69.842,obsidian_pxrf_master_2017-2018.xlsx,106
484,2017-07-27 12:45:00,motza,dorsal,4037,40760,121.16,full,,,True,,0.008,0.006,0.002,0.581,0.022,,85.309,obsidian_pxrf_master_2017-2018.xlsx,107
485,2017-07-27 12:49:00,motza,ventral,4037,40760,120.44,full,,,True,,0.009,0.006,0.003,0.612,0.017,,81.099,obsidian_pxrf_master_2017-2018.xlsx,108
486,2017-07-27 12:53:00,motza,ventral,4037,40760,120.74,full,,,True,,0.009,0.006,0.002,0.609,0.038,0.011,65.982,obsidian_pxrf_master_2017-2018.xlsx,109
